experiment_id,epoch,loss,train_acc,train_f1,val_acc,val_f1,test_acc,test_f1
M3/N7/E10b/T12b_train53,1,0.756313,0.8,0.0,0.777778,0.0,0.722222,0.0
M3/N7/E10b/T12b_train53,2,0.388054,0.8,0.0,0.777778,0.0,0.722222,0.0
M3/N7/E10b/T12b_train53,3,0.571677,0.8,0.0,0.777778,0.0,0.722222,0.0
M3/N7/E10b/T12b_train53,4,0.448695,0.8,0.0,0.777778,0.0,0.722222,0.0
M3/N7/E10b/T12b_train53,5,0.373374,0.8,0.0,0.777778,0.0,0.722222,0.0
M3/N7/E10b/T12b_train53,6,0.331317,0.8,0.0,0.777778,0.0,0.722222,0.0
M3/N7/E10b/T12b_train53,7,0.267235,0.933333,0.8,0.777778,0.0,0.722222,0.0
M3/N7/E10b/T12b_train53,8,0.226975,1.0,1.0,0.777778,0.0,0.722222,0.0
M3/N7/E10b/T12b_train53,9,0.127184,1.0,1.0,0.888889,0.666667,0.722222,0.0
M3/N7/E10b/T12b_train53,10,0.089721,1.0,1.0,0.888889,0.666667,0.777778,0.333333
M3/N7/E10b/T12b_train53,11,0.129973,1.0,1.0,1.0,1.0,0.722222,0.285714
M3/N7/E10b/T12b_train53,12,0.086218,1.0,1.0,0.777778,0.666667,0.666667,0.25
M3/N7/E10b/T12b_train53,13,0.053143,1.0,1.0,0.777778,0.666667,0.666667,0.25
M3/N7/E10b/T12b_train53,14,0.021079,1.0,1.0,0.777778,0.666667,0.666667,0.25
M3/N7/E10b/T12b_train53,15,0.029305,1.0,1.0,0.777778,0.666667,0.611111,0.222222
M3/N7/E10b/T12b_train53,16,0.014993,1.0,1.0,0.777778,0.666667,0.611111,0.222222
M3/N7/E10b/T12b_train53,17,0.008021,1.0,1.0,0.777778,0.666667,0.611111,0.222222
M3/N7/E10b/T12b_train53,18,0.012024,1.0,1.0,0.777778,0.666667,0.611111,0.222222
M3/N7/E10b/T12b_train53,19,0.004463,1.0,1.0,0.777778,0.666667,0.611111,0.222222
M3/N7/E10b/T12b_train53,20,0.005455,1.0,1.0,0.777778,0.666667,0.611111,0.222222
M3/N7/E10b/T12b_train53,21,0.004269,1.0,1.0,0.777778,0.666667,0.611111,0.222222
M3/N7/E10b/T12b_train53,22,0.007541,1.0,1.0,0.777778,0.666667,0.611111,0.222222
