experiment_id,epoch,loss,train_acc,train_f1,val_acc,val_f1,test_acc,test_f1
M3/N7/E11a/T12b_train30,1,1.018182,0.166667,0.285714,0.5,0.666667,0.125,0.222222
M3/N7/E11a/T12b_train30,2,0.344176,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,3,0.420595,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,4,0.513216,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,5,0.630347,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,6,0.341449,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,7,0.535133,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,8,0.449421,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,9,0.266235,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,10,0.23537,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,11,0.209902,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,12,0.235742,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,13,0.094998,0.833333,0.0,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,14,0.101268,0.916667,0.666667,0.5,0.0,0.875,0.0
M3/N7/E11a/T12b_train30,15,0.167276,1.0,1.0,0.5,0.0,1.0,1.0
M3/N7/E11a/T12b_train30,16,0.202249,0.916667,0.8,0.5,0.0,1.0,1.0
M3/N7/E11a/T12b_train30,17,0.099277,0.916667,0.8,0.5,0.0,1.0,1.0
M3/N7/E11a/T12b_train30,18,0.101854,0.916667,0.8,0.5,0.0,1.0,1.0
M3/N7/E11a/T12b_train30,19,0.046174,1.0,1.0,0.5,0.0,1.0,1.0
M3/N7/E11a/T12b_train30,20,0.103904,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,21,0.097326,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,22,0.182027,1.0,1.0,0.5,0.5,0.75,0.5
M3/N7/E11a/T12b_train30,23,0.066742,0.916667,0.8,0.5,0.5,0.75,0.5
M3/N7/E11a/T12b_train30,24,0.075575,0.916667,0.8,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,25,0.033403,0.916667,0.8,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,26,0.058281,0.916667,0.8,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,27,0.083446,0.916667,0.8,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,28,0.128508,0.916667,0.8,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,29,0.036102,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,30,0.034843,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,31,0.031003,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,32,0.126907,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,33,0.066811,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,34,0.005,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,35,0.077426,0.916667,0.8,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,36,0.133543,0.916667,0.8,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,37,0.036695,0.916667,0.8,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,38,0.146192,0.916667,0.8,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,39,0.185399,0.916667,0.8,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,40,0.026776,0.916667,0.8,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,41,0.134522,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,42,0.009201,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,43,0.020129,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,44,0.006413,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,45,0.002347,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,46,0.062847,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,47,0.004719,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,48,0.046428,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,49,0.001851,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,50,0.007124,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,51,0.050845,1.0,1.0,0.75,0.8,0.75,0.5
M3/N7/E11a/T12b_train30,52,3.8e-05,1.0,1.0,0.75,0.8,0.625,0.0
M3/N7/E11a/T12b_train30,53,0.025019,1.0,1.0,0.5,0.5,0.625,0.0
M3/N7/E11a/T12b_train30,54,0.000266,1.0,1.0,0.5,0.5,0.625,0.0
M3/N7/E11a/T12b_train30,55,0.000149,1.0,1.0,0.5,0.5,0.625,0.0
M3/N7/E11a/T12b_train30,56,0.001434,1.0,1.0,0.5,0.5,0.625,0.0
M3/N7/E11a/T12b_train30,57,0.000654,1.0,1.0,0.5,0.5,0.625,0.0
M3/N7/E11a/T12b_train30,58,0.001367,1.0,1.0,0.5,0.5,0.625,0.0
M3/N7/E11a/T12b_train30,59,0.047958,1.0,1.0,0.5,0.5,0.625,0.0
M3/N7/E11a/T12b_train30,60,0.00319,1.0,1.0,0.5,0.5,0.625,0.0
M3/N7/E11a/T12b_train30,61,0.000295,1.0,1.0,0.5,0.5,0.625,0.0
M3/N7/E11a/T12b_train30,62,0.004855,1.0,1.0,0.75,0.666667,0.625,0.0
M3/N7/E11a/T12b_train30,63,0.004735,1.0,1.0,0.75,0.666667,0.625,0.0
M3/N7/E11a/T12b_train30,64,0.008376,1.0,1.0,0.75,0.666667,0.625,0.0
M3/N7/E11a/T12b_train30,65,0.002329,1.0,1.0,0.75,0.666667,0.625,0.0
M3/N7/E11a/T12b_train30,66,0.000676,1.0,1.0,0.75,0.666667,0.625,0.0
M3/N7/E11a/T12b_train30,67,0.003254,1.0,1.0,0.75,0.666667,0.625,0.0
M3/N7/E11a/T12b_train30,68,5.9e-05,1.0,1.0,0.75,0.666667,0.625,0.0
M3/N7/E11a/T12b_train30,69,0.016753,1.0,1.0,0.75,0.666667,0.625,0.0
M3/N7/E11a/T12b_train30,70,3.8e-05,1.0,1.0,0.75,0.666667,0.75,0.5
M3/N7/E11a/T12b_train30,71,0.000246,1.0,1.0,0.75,0.666667,0.75,0.5
M3/N7/E11a/T12b_train30,72,0.000111,1.0,1.0,0.75,0.666667,0.75,0.5
M3/N7/E11a/T12b_train30,73,7.1e-05,1.0,1.0,0.75,0.666667,0.75,0.5
M3/N7/E11a/T12b_train30,74,0.000156,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,75,0.000178,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,76,0.000376,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,77,6.4e-05,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,78,0.001086,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,79,7.2e-05,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,80,0.000195,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,81,0.000418,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,82,9.3e-05,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,83,6.5e-05,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,84,0.039776,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,85,0.000281,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,86,0.000218,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,87,0.000107,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,88,0.000248,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,89,0.002487,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,90,0.000679,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,91,0.000107,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,92,1.1e-05,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,93,0.000106,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,94,0.000358,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,95,0.00593,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,96,0.000292,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,97,0.000426,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,98,0.000116,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,99,4.9e-05,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,100,0.000324,1.0,1.0,0.5,0.0,0.75,0.5
M3/N7/E11a/T12b_train30,1,0.80548,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,2,0.415542,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,3,0.239486,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,4,0.023242,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,5,0.001253,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,6,0.000241,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,7,7.8e-05,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,8,2e-06,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,9,1e-06,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,10,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,11,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,12,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,13,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,14,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,15,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,16,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,17,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,18,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,19,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,20,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,21,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,22,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,23,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,24,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,25,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,26,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,27,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,28,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,29,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,31,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,32,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,33,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,34,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,35,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,36,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,37,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,38,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,39,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,40,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,41,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,42,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,43,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,44,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,45,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,46,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,47,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,48,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M3/N7/E11a/T12b_train30,49,0.0,1.0,0.0,1.0,0.0,1.0,0.0
