experiment_id,epoch,loss,train_acc,train_f1,val_acc,val_f1,test_acc,test_f1
M3/N7/E10c/T12a_train35,1,0.757629,0.620253,0.0,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12a_train35,2,0.629636,0.620253,0.0,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12a_train35,3,0.665308,0.620253,0.0,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12a_train35,4,0.553306,0.620253,0.0,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12a_train35,5,0.449733,0.620253,0.0,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12a_train35,6,0.421686,0.620253,0.0,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12a_train35,7,0.360247,0.632911,0.064516,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12a_train35,8,0.307674,0.632911,0.064516,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12a_train35,9,0.296526,0.64557,0.125,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12a_train35,10,0.237144,0.721519,0.421053,0.727273,0.0,0.727273,0.142857
M3/N7/E10c/T12a_train35,11,0.230362,0.835443,0.723404,0.727273,0.0,0.727273,0.142857
M3/N7/E10c/T12a_train35,12,0.193448,0.860759,0.77551,0.772727,0.444444,0.704545,0.315789
M3/N7/E10c/T12a_train35,13,0.162245,0.936709,0.909091,0.818182,0.666667,0.659091,0.285714
M3/N7/E10c/T12a_train35,14,0.115168,0.949367,0.931034,0.863636,0.769231,0.727273,0.538462
M3/N7/E10c/T12a_train35,15,0.092704,0.974684,0.967742,0.818182,0.714286,0.75,0.62069
M3/N7/E10c/T12a_train35,16,0.082088,0.974684,0.967742,0.772727,0.666667,0.636364,0.555556
M3/N7/E10c/T12a_train35,17,0.097893,0.962025,0.952381,0.818182,0.75,0.659091,0.615385
M3/N7/E10c/T12a_train35,18,0.038189,0.936709,0.923077,0.772727,0.705882,0.636364,0.6
M3/N7/E10c/T12a_train35,19,0.121515,0.936709,0.923077,0.772727,0.705882,0.636364,0.6
M3/N7/E10c/T12a_train35,20,0.046301,0.962025,0.952381,0.818182,0.75,0.636364,0.6
M3/N7/E10c/T12a_train35,21,0.037869,0.962025,0.952381,0.772727,0.666667,0.636364,0.6
M3/N7/E10c/T12a_train35,22,0.056256,0.974684,0.967742,0.727273,0.625,0.613636,0.564103
M3/N7/E10c/T12a_train35,23,0.021566,0.974684,0.967742,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12a_train35,24,0.039764,0.974684,0.967742,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12a_train35,25,0.021257,0.974684,0.967742,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12a_train35,26,0.025506,0.974684,0.967742,0.772727,0.666667,0.659091,0.594595
M3/N7/E10c/T12a_train35,27,0.036688,0.974684,0.967742,0.727273,0.625,0.659091,0.594595
M3/N7/E10c/T12a_train35,28,0.033641,0.974684,0.967742,0.727273,0.625,0.659091,0.594595
M3/N7/E10c/T12a_train35,29,0.01586,0.974684,0.967742,0.681818,0.588235,0.636364,0.578947
M3/N7/E10c/T12a_train35,30,0.087937,0.974684,0.967742,0.636364,0.555556,0.613636,0.564103
M3/N7/E10c/T12a_train35,31,0.036029,0.962025,0.952381,0.636364,0.555556,0.636364,0.6
M3/N7/E10c/T12a_train35,32,0.008873,0.962025,0.952381,0.636364,0.555556,0.636364,0.6
M3/N7/E10c/T12a_train35,33,0.016034,0.962025,0.952381,0.636364,0.555556,0.636364,0.6
M3/N7/E10c/T12a_train35,34,0.022759,0.974684,0.967742,0.636364,0.555556,0.636364,0.6
M3/N7/E10c/T12a_train35,35,0.04192,0.987342,0.983607,0.636364,0.555556,0.636364,0.6
M3/N7/E10c/T12a_train35,36,0.005071,0.987342,0.983607,0.636364,0.555556,0.636364,0.6
M3/N7/E10c/T12a_train35,37,0.010478,0.987342,0.983607,0.681818,0.588235,0.636364,0.6
M3/N7/E10c/T12a_train35,38,0.032052,0.987342,0.983607,0.727273,0.625,0.636364,0.6
M3/N7/E10c/T12a_train35,39,0.006094,1.0,1.0,0.727273,0.625,0.636364,0.6
M3/N7/E10c/T12a_train35,40,0.002,1.0,1.0,0.727273,0.625,0.636364,0.6
M3/N7/E10c/T12a_train35,41,0.015174,1.0,1.0,0.727273,0.625,0.636364,0.6
M3/N7/E10c/T12a_train35,42,0.012038,1.0,1.0,0.727273,0.625,0.636364,0.6
M3/N7/E10c/T12a_train35,43,0.001755,1.0,1.0,0.681818,0.588235,0.636364,0.6
M3/N7/E10c/T12a_train35,44,0.001828,1.0,1.0,0.681818,0.588235,0.636364,0.6
M3/N7/E10c/T12a_train35,45,0.002473,1.0,1.0,0.681818,0.588235,0.636364,0.6
M3/N7/E10c/T12a_train35,46,0.006724,1.0,1.0,0.681818,0.588235,0.636364,0.6
M3/N7/E10c/T12a_train35,47,0.007166,1.0,1.0,0.681818,0.588235,0.636364,0.6
M3/N7/E10c/T12a_train35,48,0.007073,1.0,1.0,0.727273,0.625,0.659091,0.615385
