experiment_id,epoch,loss,train_acc,train_f1,val_acc,val_f1,test_acc,test_f1
M3/N7/E11a/T12b_train52,1,0.502062,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,2,0.283205,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,3,0.326082,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,4,0.202847,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,5,0.16559,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,6,0.331025,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,7,0.184503,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,8,0.393266,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,9,0.354184,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,10,0.255665,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,11,0.265994,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,12,0.031705,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,13,0.177908,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,14,0.028634,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,15,0.002665,0.928571,0.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,16,0.032359,1.0,1.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,17,0.064512,1.0,1.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,18,0.037879,1.0,1.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,19,0.058842,1.0,1.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,20,0.00714,1.0,1.0,0.75,0.0,0.875,0.0
M3/N7/E11a/T12b_train52,21,0.011313,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,22,0.001996,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,23,0.013698,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,24,0.005355,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,25,0.007564,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,26,0.00078,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,27,0.001717,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,28,0.001642,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,29,0.001357,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,30,0.000599,1.0,1.0,1.0,1.0,0.625,0.0
M3/N7/E11a/T12b_train52,31,4.5e-05,1.0,1.0,1.0,1.0,0.625,0.0
M3/N7/E11a/T12b_train52,32,0.000363,1.0,1.0,1.0,1.0,0.625,0.0
M3/N7/E11a/T12b_train52,33,0.001728,1.0,1.0,1.0,1.0,0.625,0.0
M3/N7/E11a/T12b_train52,34,0.000355,1.0,1.0,1.0,1.0,0.625,0.0
M3/N7/E11a/T12b_train52,35,2.4e-05,1.0,1.0,1.0,1.0,0.625,0.0
M3/N7/E11a/T12b_train52,36,0.002107,1.0,1.0,1.0,1.0,0.625,0.0
M3/N7/E11a/T12b_train52,37,8e-06,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,38,0.000105,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,39,2.2e-05,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,40,0.000115,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,41,5e-06,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,42,0.000195,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,43,0.003204,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,44,0.000471,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,45,1.8e-05,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,46,4e-06,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,47,3.3e-05,1.0,1.0,1.0,1.0,0.75,0.0
M3/N7/E11a/T12b_train52,48,9e-06,1.0,1.0,1.0,1.0,0.75,0.0
