experiment_id,epoch,loss,train_acc,train_f1,val_acc,val_f1,test_acc,test_f1
M3/N7/E10b/T12b_train23,1,0.695307,0.848485,0.0,0.666667,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,2,0.399143,0.848485,0.0,0.666667,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,3,0.474123,0.848485,0.0,0.666667,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,4,0.38601,0.848485,0.0,0.666667,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,5,0.345341,0.848485,0.0,0.666667,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,6,0.32657,0.848485,0.0,0.666667,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,7,0.294527,0.848485,0.0,0.666667,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,8,0.208253,0.848485,0.0,0.666667,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,9,0.158075,0.848485,0.0,0.666667,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,10,0.112137,0.848485,0.0,0.666667,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,11,0.123876,0.939394,0.75,0.555556,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,12,0.093689,1.0,1.0,0.555556,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,13,0.066546,1.0,1.0,0.555556,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,14,0.046569,1.0,1.0,0.555556,0.0,0.888889,0.0
M3/N7/E10b/T12b_train23,15,0.061879,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,16,0.047462,1.0,1.0,0.666667,0.4,0.833333,0.0
M3/N7/E10b/T12b_train23,17,0.030747,1.0,1.0,0.666667,0.4,0.833333,0.0
M3/N7/E10b/T12b_train23,18,0.022337,1.0,1.0,0.666667,0.4,0.833333,0.0
M3/N7/E10b/T12b_train23,19,0.008516,1.0,1.0,0.555556,0.333333,0.833333,0.0
M3/N7/E10b/T12b_train23,20,0.008742,1.0,1.0,0.555556,0.333333,0.833333,0.0
M3/N7/E10b/T12b_train23,21,0.004378,1.0,1.0,0.555556,0.333333,0.777778,0.0
M3/N7/E10b/T12b_train23,22,0.005598,1.0,1.0,0.555556,0.333333,0.777778,0.0
M3/N7/E10b/T12b_train23,23,0.003786,1.0,1.0,0.555556,0.333333,0.833333,0.4
M3/N7/E10b/T12b_train23,24,0.001011,1.0,1.0,0.555556,0.333333,0.833333,0.4
M3/N7/E10b/T12b_train23,25,0.001556,1.0,1.0,0.555556,0.333333,0.833333,0.4
M3/N7/E10b/T12b_train23,26,0.002099,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,27,0.000322,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,28,0.000686,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,29,0.001878,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,30,0.003823,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,31,0.000211,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,32,0.00014,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,33,0.000433,1.0,1.0,0.555556,0.333333,0.722222,0.285714
M3/N7/E10b/T12b_train23,34,0.00035,1.0,1.0,0.555556,0.333333,0.722222,0.285714
M3/N7/E10b/T12b_train23,35,0.000395,1.0,1.0,0.555556,0.333333,0.722222,0.285714
M3/N7/E10b/T12b_train23,36,0.00029,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,37,0.000145,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,38,0.000295,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,39,0.00117,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,40,0.000214,1.0,1.0,0.555556,0.333333,0.777778,0.333333
M3/N7/E10b/T12b_train23,41,0.00092,1.0,1.0,0.666667,0.4,0.777778,0.333333
M3/N7/E10b/T12b_train23,42,0.00115,1.0,1.0,0.666667,0.4,0.777778,0.333333
M3/N7/E10b/T12b_train23,43,0.000562,1.0,1.0,0.666667,0.4,0.777778,0.333333
M3/N7/E10b/T12b_train23,44,7.2e-05,1.0,1.0,0.666667,0.4,0.777778,0.333333
M3/N7/E10b/T12b_train23,45,7.8e-05,1.0,1.0,0.666667,0.4,0.722222,0.0
M3/N7/E10b/T12b_train23,46,0.000151,1.0,1.0,0.666667,0.4,0.722222,0.0
M3/N7/E10b/T12b_train23,47,4.2e-05,1.0,1.0,0.666667,0.4,0.777778,0.0
M3/N7/E10b/T12b_train23,48,3e-05,1.0,1.0,0.666667,0.4,0.777778,0.0
M3/N7/E10b/T12b_train23,49,0.000144,1.0,1.0,0.666667,0.4,0.833333,0.0
M3/N7/E10b/T12b_train23,50,2.5e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,51,8.9e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,52,6e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,53,3.5e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,54,6.4e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,55,0.000212,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,56,7.3e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,57,0.000913,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,58,2.9e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,59,0.000464,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,60,5.9e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,61,5.4e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,62,0.000101,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,63,0.000208,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,64,0.000252,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,65,0.000106,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,66,0.000331,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,67,1.5e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,68,1.4e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,69,0.000144,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,70,0.00025,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,71,7.3e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,72,4.6e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,73,0.000102,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,74,1.5e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,75,9.8e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,76,0.000138,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,77,0.000887,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,78,7.4e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,79,6.3e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,80,2.7e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,81,0.000273,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,82,0.000271,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,83,0.000545,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,84,7.1e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,85,1.4e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,86,6.5e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,87,3.6e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,88,2.4e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,89,4.5e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,90,6.7e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,91,4.8e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,92,0.000258,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,93,0.00017,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,94,2.2e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,95,0.000133,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,96,7.3e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,97,0.000102,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,98,5.6e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,99,1e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,100,7.1e-05,1.0,1.0,0.666667,0.4,0.888889,0.0
M3/N7/E10b/T12b_train23,1,0.705561,0.489198,0.0,0.53484,0.0,0.512241,0.0
M3/N7/E10b/T12b_train23,2,0.670247,0.489198,0.0,0.53484,0.0,0.512241,0.0
M3/N7/E10b/T12b_train23,3,0.641952,0.489198,0.0,0.53484,0.0,0.514124,0.007692
M3/N7/E10b/T12b_train23,4,0.630776,0.489198,0.0,0.53484,0.0,0.512241,0.0
M3/N7/E10b/T12b_train23,5,0.618072,0.489198,0.0,0.53484,0.0,0.512241,0.0
M3/N7/E10b/T12b_train23,6,0.602283,0.627572,0.501377,0.6742,0.520776,0.651601,0.513158
