dataset,n_variants,rho,p,ted_within,ted_cross,train_r2,test_r2
history,8,0.9759000729485332,3.4364028076121416e-05,0.21428571428571427,0.5886363636363636,0.997043695356461,0.9939930437539577
amazon,26,0.8137898843155691,4.2826962776014397e-07,0.2608695652173913,0.3419717772692601,0.9950405752943519,0.9950950882859709
arxiv,16,0.8402513962877929,4.6152621814130366e-05,0.13333333333333333,0.4688995215311004,0.9929612705013303,0.9940178536717149
electronics,26,0.8052164552772677,7.009983716601482e-07,0.22916666666666666,0.3419717772692601,0.9880894535242881,0.9935091081293135
toys,26,0.9406766340824299,9.24421685847548e-13,0.08333333333333333,0.3637109077040427,0.9992854509093773,0.9978856772468525
