dataset,n_variants,rho,p,ted_within,ted_cross,train_r2,test_r2
history,8,0.944911182523068,0.00040087754455410906,0.0,0.6102678571428571,0.9262574516460986,0.8970293725687564
amazon,26,0.9391494729071518,1.2441585818728422e-12,0.05263157894736842,0.5044101731601731,0.9986354605610206,0.9989863694260716
arxiv,16,0.958238460361173,5.318135203639659e-09,0.045454545454545456,0.4927083333333333,0.9998828757691189,0.9998986447576342
electronics,26,0.9566581889993447,2.3231854873077887e-14,0.16666666666666666,0.46051136363636364,0.9999505809399457,0.9999338727992457
toys,26,0.8734609504221468,5.747033243151077e-09,0.17391304347826086,0.44270833333333337,0.9987547215412401,0.9994422855396413
