Task_Idx,Node_Idx,Edge_Idx,Text_Idx,kl,top1,top3,cosine,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,task_type,output_dimension,normalized_score
1,7,10,a,0.9792212843894958,0.7753333333333333,0.9403333333333334,0.7970938086509705,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7753333333333333
1,7,10,b,0.9563523530960083,0.7783333333333333,0.941,0.8019803762435913,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7783333333333333
1,7,10,c,0.9706087112426758,0.7766666666666666,0.9363333333333334,0.8009179830551147,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7766666666666666
1,7,10,d,0.9525460600852966,0.7783333333333333,0.94,0.8026311993598938,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7783333333333333
1,7,10,e,0.9835053086280823,0.776,0.935,0.8005874752998352,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.776
1,7,11,a,1.0534229278564453,0.7743333333333333,0.935,0.7942416071891785,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7743333333333333
1,7,11,a,0.979499101638794,0.7663333333333333,0.9313333333333333,0.7925406098365784,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7663333333333333
1,7,11,a,0.9456992745399475,0.776,0.935,0.7972594499588013,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.776
1,7,11,b,1.0469564199447632,0.778,0.9343333333333333,0.7964303493499756,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.778
1,7,11,b,1.0260343551635742,0.7713333333333333,0.9293333333333333,0.7915945649147034,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7713333333333333
1,7,11,b,0.9550373554229736,0.7736666666666666,0.9333333333333333,0.796689510345459,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7736666666666666
1,7,11,c,1.0376514196395874,0.772,0.933,0.7929874062538147,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.772
1,7,11,c,0.9988973140716553,0.774,0.9283333333333333,0.7943593859672546,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.774
1,7,11,c,0.9622219204902649,0.771,0.932,0.793832540512085,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.771
1,7,11,d,1.0608361959457397,0.778,0.9293333333333333,0.7952489256858826,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.778
1,7,11,d,0.9973565936088562,0.7696666666666667,0.933,0.7927602529525757,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7696666666666667
1,7,11,d,0.9291181564331055,0.7743333333333333,0.9346666666666666,0.8002999424934387,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7743333333333333
1,7,11,e,1.070544719696045,0.779,0.9286666666666666,0.7947360277175903,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.779
1,7,11,e,1.0044841766357422,0.7743333333333333,0.9336666666666666,0.7947906851768494,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7743333333333333
1,7,11,e,0.9343435168266296,0.7756666666666666,0.93,0.7980053424835205,10000,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.7756666666666666
1,8,10,a,0.22363759577274323,0.9491184475210034,0.9835522423381848,0.9533450603485107,28170,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.9491184475210034
1,8,10,b,0.22511446475982666,0.9481718139865105,0.984143888297243,0.9527132511138916,28170,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.9481718139865105
1,8,10,c,0.2224113643169403,0.9469885220683942,0.9852088510235475,0.9530267119407654,28170,893.2064,10.850194353020465,3.415326781082063,node_categorical,18,0.9469885220683942
