Task_Idx,Node_Idx,Edge_Idx,Text_Idx,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,task_type,output_dimension,normalized_score
1,7,10,a,1.367244005203247,0.67,0.8466666666666667,0.6969563364982605,,,,,,accuracy,0.67,Below Average 4/10,1000,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.67
1,7,10,e,1.4058797359466553,0.66,0.86,0.6873844265937805,,,,,,accuracy,0.66,Below Average 4/10,1000,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.66
1,7,11,a,1.4678493738174438,0.67,0.8366666666666667,0.6974259614944458,,,,,,accuracy,0.67,Below Average 4/10,1000,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.67
1,7,11,a,1.4577279090881348,0.67,0.8466666666666667,0.6991904973983765,,,,,,accuracy,0.67,Below Average 4/10,1000,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.67
1,7,11,e,1.4738677740097046,0.6833333333333333,0.8433333333333334,0.7072093486785889,,,,,,accuracy,0.6833333333333333,Below Average 4/10,1000,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.6833333333333333
1,7,11,e,1.3301798105239868,0.6833333333333333,0.8333333333333334,0.7108737230300903,,,,,,accuracy,0.6833333333333333,Below Average 4/10,1000,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.6833333333333333
1,8,10,a,0.22128593921661377,0.9453734671125975,0.9810479375696767,0.95285964012146,,,,,,accuracy,0.9453734671125975,Great 9/10,2989,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.9453734671125975
1,8,10,e,0.2521513104438782,0.9453734671125975,0.9788182831661093,0.9498770833015442,,,,,,accuracy,0.9453734671125975,Great 9/10,2989,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.9453734671125975
1,8,11,a,0.2635342478752136,0.939799331103679,0.9732441471571907,0.9463872909545898,,,,,,accuracy,0.939799331103679,Great 9/10,2989,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.939799331103679
1,8,11,a,0.2496534138917923,0.9409141583054627,0.9788182831661093,0.9493494033813477,,,,,,accuracy,0.9409141583054627,Great 9/10,2989,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.9409141583054627
1,8,11,e,0.27729347348213196,0.9386845039018952,0.9698996655518395,0.9476089477539062,,,,,,accuracy,0.9386845039018952,Great 9/10,2989,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.9386845039018952
1,8,11,e,0.2492150217294693,0.9431438127090301,0.9743589743589743,0.9493387341499329,,,,,,accuracy,0.9431438127090301,Great 9/10,2989,883.519,10.474362177375687,3.439615031270628,node_categorical,18,0.9431438127090301
2,7,10,a,,,,,,,0.035615622997283936,0.014859368093311787,-0.09333252906799316,r2,-0.09333252906799316,Weak 3/10,1000,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-0.09333252906799316
2,7,10,e,,,,,,,0.035615622997283936,0.014859368093311787,-0.09333252906799316,r2,-0.09333252906799316,Weak 3/10,1000,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-0.09333252906799316
2,7,11,a,,,,,,,0.060483984649181366,0.020118610933423042,-0.22225093841552734,r2,-0.22225093841552734,Weak 3/10,1000,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-0.22225093841552734
2,7,11,a,,,,,,,0.0003333333588670939,1.111110989882036e-07,-33333320.0,r2,-33333320.0,Worst 1/10,1000,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-33333320.0
2,7,11,e,,,,,,,0.060483984649181366,0.020118610933423042,-0.22225093841552734,r2,-0.22225093841552734,Weak 3/10,1000,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-0.22225093841552734
2,7,11,e,,,,,,,0.0003333333588670939,1.111110989882036e-07,-33333320.0,r2,-33333320.0,Worst 1/10,1000,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-33333320.0
2,8,10,a,,,,,,,0.42892760038375854,0.2253313809633255,-4.449031829833984,r2,-4.449031829833984,Worst 1/10,2989,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-4.449031829833984
2,8,10,e,,,,,,,0.42892760038375854,0.2253313809633255,-4.449031829833984,r2,-4.449031829833984,Worst 1/10,2989,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-4.449031829833984
2,8,11,a,,,,,,,0.34802156686782837,0.14641724526882172,-4.787651538848877,r2,-4.787651538848877,Worst 1/10,2989,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-4.787651538848877
2,8,11,a,,,,,,,0.3351214528083801,0.14436066150665283,-3.5036306381225586,r2,-3.5036306381225586,Worst 1/10,2989,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-3.5036306381225586
2,8,11,e,,,,,,,0.34802156686782837,0.14641724526882172,-4.787651538848877,r2,-4.787651538848877,Worst 1/10,2989,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-4.787651538848877
2,8,11,e,,,,,,,0.3351214528083801,0.14436066150665283,-3.5036306381225586,r2,-3.5036306381225586,Worst 1/10,2989,883.519,10.474362177375687,3.439615031270628,node_scalar,1,-3.5036306381225586
3,7,10,a,,,,,0.8,0.4,,,,accuracy,0.8,Good 7/10,1000,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,0.8
3,7,10,e,,,,,0.8,0.5714285714285714,,,,accuracy,0.8,Good 7/10,1000,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,0.8
3,7,11,a,,,,,0.8608695652173913,0.5,,,,accuracy,0.8608695652173913,Very Good 8/10,1000,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,0.8608695652173913
3,7,11,a,,,,,,,,,,accuracy,,N/A,1000,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,
3,7,11,e,,,,,0.8695652173913043,0.5454545454545454,,,,accuracy,0.8695652173913043,Very Good 8/10,1000,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,0.8695652173913043
3,7,11,e,,,,,,,,,,accuracy,,N/A,1000,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,
3,8,10,a,,,,,0.994277108433735,0.0,,,,accuracy,0.994277108433735,Excellent 10/10,2989,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,0.994277108433735
3,8,10,e,,,,,0.994277108433735,0.0,,,,accuracy,0.994277108433735,Excellent 10/10,2989,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,0.994277108433735
3,8,11,a,,,,,0.9592417061611375,0.5168539325842697,,,,accuracy,0.9592417061611375,Excellent 10/10,2989,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,0.9592417061611375
3,8,11,a,,,,,1.0,0.0,,,,accuracy,1.0,Excellent 10/10,2989,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,1.0
3,8,11,e,,,,,0.9731437598736177,0.7301587301587301,,,,accuracy,0.9731437598736177,Excellent 10/10,2989,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,0.9731437598736177
3,8,11,e,,,,,1.0,0.0,,,,accuracy,1.0,Excellent 10/10,2989,883.519,10.474362177375687,3.439615031270628,edge_categorical,2,1.0
