method,amazon,arxiv,electronics,history,toys
clamped,0.5542296844180179,0.9105889223416372,0.6665148066725866,0.3976575156165507,0.45649420923207645
raw_gnn,0.9458952463261852,0.9624858660340538,0.9279006923113396,0.7797990020492053,0.5824523045380776
unclamped,0.6232330391325427,0.779449467958101,0.7783410392860435,0.5392220394387478,0.8370741609640882
