dataset,raw_gnn,clamped,unclamped
history,0.7797990020492053,0.3976575156165507,0.5392220394387478
amazon,0.9458952463261852,0.5542296844180179,0.6232330391325427
arxiv,0.9624858660340538,0.9105889223416372,0.779449467958101
electronics,0.9279006923113396,0.6665148066725866,0.7783410392860435
toys,0.5824523045380776,0.45649420923207645,0.8370741609640882
