,history,amazon,arxiv,electronics,toys
history,0.7798,0.2522,0.1314,0.297,0.192
amazon,0.3654,0.9459,0.4914,0.7775,0.7372
arxiv,0.199,0.37,0.9625,0.3325,-0.0999
electronics,0.332,0.8856,0.4833,0.9279,0.6791
toys,0.5033,0.2749,-0.3178,0.3886,0.5825
