dataset,Task_Idx,Node_Idx,Edge_Idx,Text_Idx,mean_score_train,std_score_train,n_samples_train,pct_degenerate,mean_score_test,std_score_test,n_samples_test,leaf
amazon,M1,N7,E10a,T12a,82.53830875384884,1.5326405151708065,20,0.0,83.57045740092879,1.8300534002221311,20,4
amazon,M1,N7,E10a,T12b,82.53830875384884,1.5326405151708065,20,0.0,83.5872359244187,1.7988101269305112,20,4
amazon,M1,N7,E10a,T12e,82.53830875384884,1.5326405151708065,20,0.0,83.55356589074867,1.7531461795188197,20,4
amazon,M1,N7,E10b,T12a,82.5718658008287,1.509149000590477,20,0.0,83.57045740092879,1.8300534002221311,20,4
amazon,M1,N7,E10b,T12b,82.53830875384884,1.5326405151708065,20,0.0,83.60401444790865,1.813200369663261,20,4
amazon,M1,N7,E10b,T12e,82.53830875384884,1.5326405151708065,20,0.0,83.5872359244187,1.7988101269305112,20,4
amazon,M1,N7,E10c,T12a,82.55514377068386,1.5494298140455685,20,0.0,83.5537911083652,1.7515576460400326,20,4
amazon,M1,N7,E10c,T12b,82.53830875384884,1.5326405151708065,20,0.0,83.5872359244187,1.7988101269305112,20,4
amazon,M1,N7,E10c,T12e,82.53830875384884,1.5326405151708065,20,0.0,83.5872359244187,1.7988101269305112,20,4
amazon,M1,N7,E11a,T12a,82.48814152976857,1.576731491154854,20,0.0,83.5872359244187,1.7988101269305112,20,4
amazon,M1,N7,E11a,T12b,82.53830875384884,1.5326405151708065,20,0.0,83.5704009075837,1.804536441942244,20,4
amazon,M1,N7,E11a,T12e,82.53830875384884,1.5326405151708065,20,0.0,83.5872359244187,1.7988101269305112,20,4
amazon,M1,N7,E11b,T12a,82.53830875384884,1.5326405151708065,20,0.0,82.88016521734801,4.167932850832807,20,4
amazon,M1,N7,E11b,T12b,82.53830875384884,1.5326405151708065,20,0.0,83.5872359244187,1.7988101269305112,20,4
amazon,M1,N7,E11b,T12e,82.53830875384884,1.5326405151708065,20,0.0,83.5872359244187,1.7988101269305112,20,4
amazon,M1,N7,E11c,T12a,82.53830875384884,1.5326405151708065,20,0.0,83.5872359244187,1.7988101269305112,20,4
amazon,M1,N7,E11c,T12b,82.53830875384884,1.5326405151708065,20,0.0,83.5872359244187,1.7988101269305112,20,4
amazon,M1,N7,E11c,T12e,82.53830875384884,1.5326405151708065,20,0.0,83.55356589074867,1.7531461795188197,20,4
amazon,M1,N8,E10a,T12a,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E10a,T12b,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E10a,T12e,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E10b,T12a,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E10b,T12b,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E10b,T12e,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E10c,T12a,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E10c,T12b,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E10c,T12e,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E11a,T12a,82.77398387284852,2.8822192429979325,20,0.0,82.8945813957341,2.3027074406526054,20,7
amazon,M1,N8,E11a,T12b,82.6792322488487,2.9796194571520744,20,0.0,82.93253328972806,2.2697932263883196,20,7
amazon,M1,N8,E11a,T12e,82.86630306111664,2.833777849169196,20,0.0,82.97005309384731,2.23973773655375,20,7
amazon,M1,N8,E11b,T12a,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E11b,T12b,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E11b,T12e,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E11c,T12a,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E11c,T12b,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M1,N8,E11c,T12e,82.84784564134343,2.8180664731023657,20,0.0,82.9889210183756,2.231706942895951,20,7
amazon,M2,N7,E10a,T12a,46.47036015987396,11.24392523964606,20,0.0,49.3280591070652,1.5143472135579918,20,11
amazon,M2,N7,E10a,T12b,48.314373195171356,4.093128805947854,20,0.0,46.982129365205765,11.073875684057235,20,11
amazon,M2,N7,E10a,T12e,46.79122179746628,10.149397290623426,20,0.0,48.26614201068878,3.3703592474668738,20,11
amazon,M2,N7,E10b,T12a,47.91198343038559,5.416947071604199,20,0.0,46.37377858161926,11.293447022838839,20,11
amazon,M2,N7,E10b,T12b,48.65961402654648,2.578230128709743,20,0.0,44.54604312777519,13.66730675135997,20,11
amazon,M2,N7,E10b,T12e,46.492412239313126,11.03322068642359,20,0.0,48.177350461483,3.3984216110902747,20,11
amazon,M2,N7,E10c,T12a,46.5938426554203,11.134009374216372,20,0.0,46.500577479600906,11.142396098221651,20,11
amazon,M2,N7,E10c,T12b,48.46022680401802,3.6881082440058104,20,0.0,46.09579995274544,11.240935363077783,20,11
amazon,M2,N7,E10c,T12e,46.41956925392151,11.130860669122933,20,0.0,47.80181869864464,4.39492740217851,20,11
amazon,M2,N7,E11a,T12a,45.75183629989624,12.337598641758115,20,0.0,48.81006583571434,3.0871437379888875,20,11
amazon,M2,N7,E11a,T12b,48.620895743370056,2.450620871053906,20,0.0,46.14506438374519,11.345765389598547,20,11
amazon,M2,N7,E11a,T12e,46.802048087120056,9.83177570392973,20,0.0,48.2774943113327,3.1805297599161793,20,11
amazon,M2,N7,E11b,T12a,46.91897824406624,11.283749485416338,20,0.0,46.050014048814774,11.33029752600548,20,11
amazon,M2,N7,E11b,T12b,49.27935630083084,1.0644812600159457,20,0.0,47.3836512863636,5.67915973083408,20,11
amazon,M2,N7,E11b,T12e,47.160291373729706,8.708371697695263,20,0.0,48.18458467721939,3.6155130130565762,20,11
amazon,M2,N7,E11c,T12a,46.95341765880585,11.204218570368479,20,0.0,46.92071735858917,11.288731947809922,20,11
amazon,M2,N7,E11c,T12b,49.12833780050278,1.4709976807071852,20,0.0,46.25315964221954,11.046930298079099,20,11
amazon,M2,N7,E11c,T12e,46.69925704598427,10.271446608706233,20,0.0,48.316823691129684,2.9843897728081568,20,11
amazon,M2,N8,E10a,T12a,47.19029814004898,8.772019727977348,20,0.0,49.496487975120544,0.6903701850180732,20,11
amazon,M2,N8,E10a,T12b,47.037037909030914,8.735557609498409,20,0.0,49.3822155892849,0.983091134962787,20,11
amazon,M2,N8,E10a,T12e,46.47477999329567,11.217353416249116,20,0.0,49.44955989718437,0.8455746638397271,20,11
amazon,M2,N8,E10b,T12a,48.22296157479286,4.013044883823863,20,0.0,49.497399032115936,0.7362750099055348,20,11
amazon,M2,N8,E10b,T12b,47.93150410056114,5.26593213404091,20,0.0,49.05178666114807,1.7209474646451624,20,11
amazon,M2,N8,E10b,T12e,48.451058864593506,3.4376913092579993,20,0.0,48.46647650003433,3.7636669894918806,20,11
amazon,M2,N8,E10c,T12a,47.30000928044319,7.312547190551323,20,0.0,49.10180985927582,1.802581816314894,20,11
amazon,M2,N8,E10c,T12b,48.230760246515274,4.382818208538475,20,0.0,49.19016122817993,1.4879430257819286,20,11
amazon,M2,N8,E10c,T12e,48.85311499238014,2.6267234648788644,20,0.0,49.0795873105526,1.6607307668679925,20,11
amazon,M2,N8,E11a,T12a,49.13187861442566,2.491565658341846,20,0.0,48.839969635009766,3.7793308141602178,20,11
amazon,M2,N8,E11a,T12b,49.14491966366768,2.4345438789570863,20,0.0,49.435124695301056,1.0865342331810484,20,11
amazon,M2,N8,E11a,T12e,49.19384494423866,2.2834454461372453,20,0.0,49.447795152664185,1.0330372390857252,20,11
amazon,M2,N8,E11b,T12a,48.938685953617096,2.4569618238130366,20,0.0,49.36956733465195,0.9727638625713946,20,11
amazon,M2,N8,E11b,T12b,49.00277078151703,2.3884649642521123,20,0.0,49.44841578602791,0.7668145272469004,20,11
amazon,M2,N8,E11b,T12e,49.05203863978386,2.7503296767827288,20,0.0,49.478164315223694,0.7369721984567051,20,11
amazon,M2,N8,E11c,T12a,46.99724957346916,9.40814755730855,20,0.0,49.52957093715668,0.7231303096482462,20,11
amazon,M2,N8,E11c,T12b,48.10890167951584,5.155529345464505,20,0.0,49.45883244276047,0.8032689265593498,20,11
amazon,M2,N8,E11c,T12e,47.359654009342194,7.455617846322663,20,0.0,49.44141060113907,0.8812533832291062,20,11
amazon,M2,N9,E10b,T12a,48.155915290117264,2.4603600961421392,20,0.0,48.42063561081886,3.9197886966607878,20,11
amazon,M2,N9,E10b,T12b,47.79602184891701,4.9208587421699725,20,0.0,48.81369963288307,2.3351725764806908,20,11
amazon,M2,N9,E10b,T12e,46.88796326518059,7.862568454946836,20,0.0,47.59592726826668,7.288390047626963,20,11
amazon,M2,N9,E10c,T12a,47.43409916758537,5.440381409993823,20,0.0,48.06815758347511,5.4571132903723845,20,11
amazon,M2,N9,E10c,T12b,48.20117473602295,2.956063945071073,20,0.0,48.394140750169754,3.8412438143514307,20,11
amazon,M2,N9,E10c,T12e,48.375986218452454,3.944961407424962,20,0.0,47.642522156238556,6.8385300445944655,20,11
amazon,M2,N9,E11a,T12a,46.89222037792206,6.9518617238261,20,0.0,49.302357733249664,1.4897162986989136,20,11
amazon,M2,N9,E11a,T12b,47.62720465660095,4.365139118626831,20,0.0,49.32783827185631,1.4521995389065552,20,11
amazon,M2,N9,E11a,T12e,46.89526841044426,5.795315381572126,20,0.0,49.189648777246475,1.3233660226520731,20,11
amazon,M2,N9,E11b,T12a,47.69470691680908,4.220950639203921,20,0.0,49.337570518255234,1.4119834620881273,20,11
amazon,M2,N9,E11b,T12b,47.09207400679588,6.076099915168829,20,0.0,49.226659536361694,1.3791755816627924,20,11
amazon,M2,N9,E11b,T12e,46.631317883729935,8.891932056463196,20,0.0,49.22951012849808,1.4574404130672192,20,11
amazon,M3,N7,E10b,T12a,79.92483070769721,5.0369446061995236,20,0.0,88.50597508645345,7.234767818004073,20,14
amazon,M3,N7,E10b,T12b,79.24025170988354,5.129008785426711,20,0.0,87.83310871598195,7.0808635433631695,20,14
amazon,M3,N7,E10b,T12e,79.51948469561084,5.681195282780977,20,0.0,82.56667853907346,7.0102639005012,20,14
amazon,M3,N8,E10b,T12a,73.28571428571429,34.231682571233854,20,0.0,63.01587301587301,35.12712361535952,20,14
amazon,M3,N8,E10b,T12b,72.11904761904762,26.448027339241158,20,0.0,59.26587301587301,34.02051425140207,20,14
amazon,M3,N8,E10b,T12e,71.61904761904762,30.478696638809424,20,0.0,64.68253968253968,32.685807970322834,20,14
amazon,M4,N7,E10b,T12a,49.262465834617615,9.295262381426314,20,0.0,63.01209568977356,21.223278143063265,20,15
amazon,M4,N7,E10b,T12b,48.23085233569145,14.444157008729878,20,0.0,63.31351771950722,20.2823133908091,20,15
amazon,M4,N7,E10b,T12e,43.505031168460846,13.508429930195726,20,0.0,47.04693645238876,5.848728902008618,20,15
amazon,M4,N8,E10b,T12a,10.481776297092438,14.577640337048217,20,0.05,16.33179545402527,15.742558924954187,20,15
amazon,M4,N8,E10b,T12b,11.25392496585846,15.282597521044579,20,0.0,16.083570420742035,15.742848575611276,20,15
amazon,M4,N8,E10b,T12e,11.46916776895523,15.54816594301997,20,0.0,16.707445979118347,17.404282368962225,20,15
amazon,M5,N7,E10a,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E10a,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E10a,T12e,100.0,0.0,20,0.0,100.0,0.0,20,20
amazon,M5,N7,E10b,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E10b,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E10b,T12e,100.0,0.0,20,0.0,100.0,0.0,20,20
amazon,M5,N7,E10c,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E10c,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E10c,T12e,100.0,0.0,20,0.0,100.0,0.0,20,20
amazon,M5,N7,E11a,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E11a,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E11a,T12e,100.0,0.0,20,0.0,100.0,0.0,20,20
amazon,M5,N7,E11b,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E11b,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E11b,T12e,100.0,0.0,20,0.0,100.0,0.0,20,20
amazon,M5,N7,E11c,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E11c,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N7,E11c,T12e,100.0,0.0,20,0.0,100.0,0.0,20,20
amazon,M5,N8,E10a,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N8,E10a,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N8,E10a,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
amazon,M5,N8,E10b,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N8,E10b,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N8,E10b,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
amazon,M5,N8,E10c,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N8,E10c,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N8,E10c,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
amazon,M5,N8,E11a,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N8,E11a,T12b,100.0,0.0,20,0.0,35.0,48.93604849295929,20,18
amazon,M5,N8,E11a,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
amazon,M5,N8,E11b,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N8,E11b,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N8,E11b,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
amazon,M5,N8,E11c,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N8,E11c,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N8,E11c,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
amazon,M5,N9,E10b,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N9,E10b,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N9,E10b,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
amazon,M5,N9,E10c,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N9,E10c,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N9,E10c,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
amazon,M5,N9,E11a,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N9,E11a,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N9,E11a,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
amazon,M5,N9,E11b,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N9,E11b,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
amazon,M5,N9,E11b,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
arxiv,M1,N7,E10b,T12a,70.53333333333333,2.5851578163958453,20,0.0,72.2,2.325550931393011,20,5
arxiv,M1,N7,E10b,T12b,61.166666666666664,4.088923849329309,20,0.0,61.55,3.261103390209733,20,5
arxiv,M1,N7,E10b,T12e,20.683333333333334,3.155752197151189,20,0.0,21.033333333333335,2.969434939453822,20,5
arxiv,M1,N7,E10c,T12a,70.81666666666666,2.6479054946829104,20,0.0,71.91666666666667,2.3442726025545157,20,5
arxiv,M1,N7,E10c,T12b,61.1,3.476066877330255,20,0.0,61.333333333333336,2.9159773621563305,20,5
arxiv,M1,N7,E10c,T12e,21.0,3.076034509574554,20,0.0,21.533333333333335,3.544866975126856,20,5
arxiv,M1,N7,E11a,T12a,70.7,2.456403494675697,20,0.0,71.55,2.6847522673129642,20,5
arxiv,M1,N7,E11a,T12b,60.733333333333334,3.1504200035599066,20,0.0,61.633333333333326,3.602955252248855,20,5
arxiv,M1,N7,E11a,T12e,19.966666666666665,3.098575413096037,20,0.0,19.983333333333334,2.8458957828805924,20,5
arxiv,M1,N7,E11b,T12a,70.85,2.8867007007434116,20,0.0,71.93333333333334,2.3708759207472085,20,5
arxiv,M1,N7,E11b,T12b,60.55,3.0917263672298936,20,0.0,61.25,3.0738949899690327,20,5
arxiv,M1,N7,E11b,T12e,20.6,3.067658115858003,20,0.0,20.283333333333335,2.814488413413664,20,5
arxiv,M1,N8,E10b,T12a,91.37238567618402,1.1664563999128954,20,0.0,91.74307168249632,1.455566972010931,20,8
arxiv,M1,N8,E10b,T12b,91.28360634506268,1.1602223406684935,20,0.0,91.81184950453572,1.5841717822931447,20,8
arxiv,M1,N8,E10b,T12e,91.30859307332769,1.3169455381026032,20,0.0,91.68202406638157,1.4630889380618892,20,8
arxiv,M1,N8,E10c,T12a,91.2428474117046,1.3644120235601709,20,0.0,91.70603917658417,1.4748345312865736,20,8
arxiv,M1,N8,E10c,T12b,91.16611359544846,1.1162730738136089,20,0.0,91.75565785565581,1.4615060820297867,20,8
arxiv,M1,N8,E10c,T12e,91.39026312364177,0.9373931651979317,20,0.0,91.57303992062766,1.6512809507701125,20,8
arxiv,M1,N8,E11a,T12a,86.4713325456669,1.77849222057869,20,0.0,87.41810712086377,1.739539808962415,20,8
arxiv,M1,N8,E11a,T12b,86.45247052536854,1.6213827473984748,20,0.0,87.7419704080699,1.7767099286485644,20,8
arxiv,M1,N8,E11a,T12e,86.62692059091431,1.5582874512382003,20,0.0,87.65905800051532,1.6672924478129283,20,8
arxiv,M1,N8,E11b,T12a,85.81132813560706,1.8011470951853998,20,0.0,87.10783627180338,1.831460330896914,20,8
arxiv,M1,N8,E11b,T12b,85.63142981827832,1.6817315108003428,20,0.0,87.09135347244778,1.7071373027365975,20,8
arxiv,M1,N8,E11b,T12e,85.64828748675679,1.9742557122307485,20,0.0,86.58222442605292,1.890835441172582,20,8
arxiv,M2,N7,E10a,T12a,37.57921501994133,26.41058876470711,20,0.0,34.38752055168152,30.983923500932573,20,11
arxiv,M2,N7,E10a,T12b,34.96911570429802,28.337906937267512,20,0.0,31.409258991479874,29.891524860510813,20,11
arxiv,M2,N7,E10a,T12e,49.01883840560913,1.179863193889773,20,0.0,48.865259289741516,2.2076187363672073,20,11
arxiv,M2,N7,E10b,T12a,92.54219233989716,3.0917237551623327,20,0.0,90.55457130074501,3.9796277998755127,20,11
arxiv,M2,N7,E10b,T12b,91.97888866066933,4.200297658855486,20,0.0,91.04282185435295,4.084004206765836,20,11
arxiv,M2,N7,E10b,T12e,90.1053136587143,5.853123006793074,20,0.45,89.57584023475647,5.220999613389968,20,11
arxiv,M2,N7,E10c,T12a,92.6211029291153,2.9996699934654596,20,0.0,91.0865418612957,3.0120367441045,20,11
arxiv,M2,N7,E10c,T12b,92.78988122940063,3.266020410441774,20,0.0,91.13370567560196,4.633195138525296,20,11
arxiv,M2,N7,E10c,T12e,90.5182720720768,6.940379226641791,20,0.45,90.13955160975456,4.635353591350844,20,11
arxiv,M2,N7,E11a,T12a,80.42410001158714,19.412185236326355,20,0.0,84.29335743188858,22.205116775626227,20,11
arxiv,M2,N7,E11a,T12b,79.47853282094002,22.602460916091395,20,0.0,80.84519937634468,24.319797598851732,20,11
arxiv,M2,N7,E11a,T12e,0.0,0.0,20,0.9,0.0,0.0,20,11
arxiv,M2,N7,E11b,T12a,8.89572024345398,18.39629081761265,20,0.0,17.446427941322327,25.440275691973216,20,11
arxiv,M2,N7,E11b,T12b,2.736240178346634,12.236838083098442,20,0.0,11.96056067943573,21.50038055480898,20,11
arxiv,M2,N7,E11b,T12e,49.094146490097046,1.1784797768923347,20,0.0,49.46042090654373,0.509038677983964,20,11
arxiv,M2,N7,E11c,T12a,37.530795484781265,28.16928887281427,20,0.0,33.28945428133011,31.43856255419401,20,11
arxiv,M2,N7,E11c,T12b,28.548303991556168,25.747313035281202,20,0.0,31.486099511384964,29.229839917793736,20,11
arxiv,M2,N7,E11c,T12e,47.987079322338104,2.284029943125414,20,0.0,49.293422400951385,1.1110789009821656,20,11
arxiv,M2,N8,E10a,T12a,0.0,0.0,20,1.0,0.0,0.0,20,11
arxiv,M2,N8,E10a,T12b,0.0,0.0,20,1.0,0.0,0.0,20,11
arxiv,M2,N8,E10a,T12e,0.0,0.0,20,1.0,0.0,0.0,20,11
arxiv,M2,N8,E11c,T12a,0.0,0.0,20,1.0,0.0,0.0,20,11
arxiv,M2,N8,E11c,T12b,0.0,0.0,20,1.0,0.0,0.0,20,11
arxiv,M2,N8,E11c,T12e,0.0,0.0,20,1.0,0.0,0.0,20,11
arxiv,M3,N7,E10b,T12a,77.0591332686921,12.340634570624662,20,0.0,80.28206678941973,10.033732474579391,20,14
arxiv,M3,N7,E10b,T12b,78.97962454212454,11.687482666499585,20,0.0,80.7257570860512,10.367001741109869,20,14
arxiv,M3,N7,E10b,T12e,79.59073565323565,11.735221836282749,20,0.0,82.11464597494009,9.589111997632742,20,14
arxiv,M3,N8,E10b,T12a,99.59419336073779,0.47540909222808153,20,0.0,99.56177816089031,0.37162779060136897,20,14
arxiv,M3,N8,E10b,T12b,99.59419336073779,0.47540909222808153,20,0.0,99.56177816089031,0.37162779060136897,20,14
arxiv,M3,N8,E10b,T12e,99.59419336073779,0.47540909222808153,20,0.0,99.56177816089031,0.37162779060136897,20,14
arxiv,M4,N7,E10b,T12a,53.32931593844765,14.52360849947974,19,0.0,48.6424888435163,15.231852527125902,19,15
arxiv,M4,N7,E10b,T12b,52.18637413100193,16.00733988835577,19,0.0,44.85008810695849,20.095875617454205,19,15
arxiv,M4,N7,E10b,T12e,44.42541944353204,8.761172202441783,19,0.8947368421052632,38.1133728905728,16.73882197598974,19,15
arxiv,M5,N7,E10a,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N7,E10a,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N7,E10a,T12e,100.0,0.0,20,0.0,100.0,0.0,20,20
arxiv,M5,N7,E10b,T12a,100.0,0.0,20,0.0,45.0,51.04177855340404,20,18
arxiv,M5,N7,E10b,T12b,100.0,0.0,20,0.0,55.0,51.04177855340404,20,18
arxiv,M5,N7,E10b,T12e,75.0,44.42616583193193,20,0.0,45.0,51.04177855340404,20,20
arxiv,M5,N7,E10c,T12a,100.0,0.0,20,0.0,45.0,51.04177855340404,20,18
arxiv,M5,N7,E10c,T12b,100.0,0.0,20,0.0,50.0,51.29891760425771,20,18
arxiv,M5,N7,E10c,T12e,75.0,44.42616583193193,20,0.0,45.0,51.04177855340404,20,20
arxiv,M5,N7,E11a,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N7,E11a,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N7,E11a,T12e,100.0,0.0,20,0.0,100.0,0.0,20,20
arxiv,M5,N7,E11b,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N7,E11b,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N7,E11b,T12e,100.0,0.0,20,0.0,100.0,0.0,20,20
arxiv,M5,N7,E11c,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N7,E11c,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N7,E11c,T12e,100.0,0.0,20,0.0,100.0,0.0,20,20
arxiv,M5,N8,E10a,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E10a,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E10a,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
arxiv,M5,N8,E10b,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E10b,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E10b,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
arxiv,M5,N8,E10c,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E10c,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E10c,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
arxiv,M5,N8,E11a,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E11a,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E11a,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
arxiv,M5,N8,E11b,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E11b,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E11b,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
arxiv,M5,N8,E11c,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E11c,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N8,E11c,T12e,100.0,0.0,20,0.0,100.0,0.0,20,21
arxiv,M5,N9,E10b,T12a,100.0,0.0,20,0.0,100.0,0.0,20,18
arxiv,M5,N9,E10b,T12b,100.0,0.0,20,0.0,100.0,0.0,20,18
