Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,0.509063184261322,0.8682432432432432,0.972972972972973,0.8829180598258972,0.8682432432432432,,,,,accuracy,0.8682432432432432,,86.82432432432432,986,73.802,7.261785248927415,2.0880208927565347,10,train,False,,,0
M1,N7,E10b,T12a,categorical,0.4730212092399597,0.8445945945945946,0.9594594594594594,0.8700517416000366,0.8445945945945946,,,,,accuracy,0.8445945945945946,,84.45945945945947,984,75.729,7.269545089574509,2.0856138227827796,10,train,False,,,1
M1,N7,E10b,T12a,categorical,0.4522574245929718,0.8783783783783784,0.9527027027027027,0.8884576559066772,0.8783783783783784,,,,,accuracy,0.8783783783783784,,87.83783783783784,985,74.656,7.238941204249403,2.0722020893267663,10,train,False,,,2
M1,N7,E10b,T12a,categorical,0.40033647418022156,0.888135593220339,0.9627118644067797,0.9042321443557739,0.888135593220339,,,,,accuracy,0.888135593220339,,88.8135593220339,981,72.844,7.2860470643954995,2.059372716219966,10,train,False,,,3
M1,N7,E10b,T12a,categorical,0.5401238203048706,0.863481228668942,0.9488054607508533,0.8776453137397766,0.863481228668942,,,,,accuracy,0.863481228668942,,86.3481228668942,974,70.75,7.2926835706373705,2.066990647886476,10,train,False,,,4
M1,N7,E10b,T12a,categorical,0.473758339881897,0.8547297297297297,0.9425675675675675,0.8779008388519287,0.8547297297297297,,,,,accuracy,0.8547297297297297,,85.47297297297297,985,73.909,7.299150927062032,2.0655220932661833,10,train,False,,,5
M1,N7,E10b,T12a,categorical,0.4502345323562622,0.8813559322033898,0.9525423728813559,0.889162003993988,0.8813559322033898,,,,,accuracy,0.8813559322033898,,88.13559322033898,981,73.909,7.27716008672532,2.081362344273505,10,train,False,,,6
M1,N7,E10b,T12a,categorical,0.5026816129684448,0.8610169491525423,0.9525423728813559,0.8718263506889343,0.8610169491525423,,,,,accuracy,0.8610169491525423,,86.10169491525423,981,74.769,7.260419409953357,2.0741237238157915,10,train,False,,,7
M1,N7,E10b,T12a,categorical,0.5978155732154846,0.8305084745762712,0.9288135593220339,0.8525785803794861,0.8305084745762712,,,,,accuracy,0.8305084745762712,,83.05084745762711,981,75.09,7.28408264867503,2.057185802345319,10,train,False,,,8
M1,N7,E10b,T12a,categorical,0.627105712890625,0.8203389830508474,0.9423728813559322,0.8448911309242249,0.8203389830508474,,,,,accuracy,0.8203389830508474,,82.03389830508473,982,69.16,7.305206571309447,2.089847552623116,10,train,False,,,9
M1,N7,E10b,T12a,categorical,0.6068736910820007,0.8108108108108109,0.9324324324324325,0.8373335599899292,0.8108108108108109,,,,,accuracy,0.8108108108108109,,81.08108108108108,986,68.763,7.282449655471114,2.092059029483905,10,train,False,,,10
M1,N7,E10b,T12a,categorical,0.5536504983901978,0.8169491525423729,0.9322033898305084,0.8445662260055542,0.8169491525423729,,,,,accuracy,0.8169491525423729,,81.69491525423729,983,74.629,7.2645493099861795,2.0545067380468787,10,train,False,,,11
M1,N7,E10b,T12a,categorical,0.4939241111278534,0.864406779661017,0.9457627118644067,0.8777032494544983,0.864406779661017,,,,,accuracy,0.864406779661017,,86.4406779661017,982,70.164,7.293199977072323,2.0759902363814176,10,train,False,,,12
M1,N7,E10b,T12a,categorical,0.4958804249763489,0.8383838383838383,0.9629629629629629,0.8639624714851379,0.8383838383838383,,,,,accuracy,0.8383838383838383,,83.83838383838383,988,70.144,7.266086037102047,2.0774980687927864,10,train,False,,,13
M1,N7,E10b,T12a,categorical,0.5837199091911316,0.8231292517006803,0.9455782312925171,0.8445560336112976,0.8231292517006803,,,,,accuracy,0.8231292517006803,,82.31292517006803,978,72.044,7.301380405173562,2.0877558943915537,10,train,False,,,14
M1,N7,E10b,T12a,categorical,0.471705824136734,0.8767123287671232,0.952054794520548,0.8829778432846069,0.8767123287671232,,,,,accuracy,0.8767123287671232,,87.67123287671232,973,70.435,7.259678802163476,2.054389273529947,10,train,False,,,15
M1,N7,E10b,T12a,categorical,0.3627273440361023,0.8745762711864407,0.9661016949152542,0.9006557464599609,0.8745762711864407,,,,,accuracy,0.8745762711864407,,87.45762711864407,981,72.18,7.275139498018397,2.0860624270703902,10,train,False,,,16
M1,N7,E10b,T12a,categorical,0.3794081211090088,0.8915254237288136,0.9694915254237289,0.9025057554244995,0.8915254237288136,,,,,accuracy,0.8915254237288136,,89.15254237288136,981,73.928,7.267793224881049,2.0496829020828073,10,train,False,,,17
M1,N7,E10b,T12a,categorical,0.44160348176956177,0.8775510204081632,0.9625850340136054,0.8877787590026855,0.8775510204081632,,,,,accuracy,0.8775510204081632,,87.75510204081633,980,73.014,7.282954559186733,2.0874748030672223,10,train,False,,,18
M1,N7,E10b,T12a,categorical,0.41260838508605957,0.8775510204081632,0.95578231292517,0.8990737795829773,0.8775510204081632,,,,,accuracy,0.8775510204081632,,87.75510204081633,980,72.027,7.306606335096426,2.034283542855868,10,train,False,,,19
M1,N7,E10b,T12a,categorical,0.49352049827575684,0.8508474576271187,0.9525423728813559,0.8717530369758606,0.8508474576271187,,,,,accuracy,0.8508474576271187,,85.08474576271186,981,67.616,7.30626050256558,2.0530571812234597,10,test,False,,,0
M1,N7,E10b,T12a,categorical,0.39612963795661926,0.8900343642611683,0.9725085910652921,0.9031422138214111,0.8900343642611683,,,,,accuracy,0.8900343642611683,,89.00343642611683,970,67.204,7.259637686652676,2.0660180082942468,10,test,False,,,1
M1,N7,E10b,T12a,categorical,0.44062796235084534,0.8648648648648649,0.9493243243243243,0.8850060701370239,0.8648648648648649,,,,,accuracy,0.8648648648648649,,86.48648648648648,986,65.674,7.278368214785651,2.0763733513323204,10,test,False,,,2
M1,N7,E10b,T12a,categorical,0.4165719151496887,0.8934707903780069,0.9656357388316151,0.8986139893531799,0.8934707903780069,,,,,accuracy,0.8934707903780069,,89.3470790378007,968,70.084,7.291172882638995,2.0715703834283037,10,test,False,,,3
M1,N7,E10b,T12a,categorical,0.5228413343429565,0.856655290102389,0.9419795221843004,0.8717607855796814,0.856655290102389,,,,,accuracy,0.856655290102389,,85.6655290102389,976,69.27,7.284813313084943,2.065675619005852,10,test,False,,,4
