task_type,Task_Idx,Node_Idx,Edge_Idx,Text_Idx,train_mean,train_std,n_train_valid,test_mean,test_std,n_test_valid
categorical,M1,N7,E10b,T12a,0.806563510399615,1.8453831252781074,10.0,0.6406596518003674,1.4870687210719769,10
categorical,M1,N7,E10b,T12b,0.6981045467698669,1.607578097999513,10.0,1.34769962180519,1.7944718931687422,10
categorical,M1,N7,E10b,T12e,0.0,0.0,10.0,0.0,0.0,10
categorical,M1,N7,E10c,T12a,1.3460817972741812,2.2280349192744424,10.0,0.7251756732855383,1.1041326374136475,10
categorical,M1,N7,E10c,T12b,0.07754948744201126,0.2452330116953805,10.0,0.701553731864364,0.9528223905643712,10
categorical,M1,N7,E10c,T12e,0.0,0.0,10.0,0.0,0.0,10
categorical,M1,N7,E11a,T12a,1.2141216486007165,1.9538535463878615,10.0,1.542712437253248,1.4812959359280227,10
categorical,M1,N7,E11a,T12b,1.3111236221110247,1.2664191751620508,10.0,1.4495930247039663,1.44082986444721,10
categorical,M1,N7,E11a,T12e,0.0,0.0,10.0,0.0,0.0,10
categorical,M1,N7,E11b,T12a,2.152585193476248,3.3638181798449036,10.0,0.6070630124178582,1.0140263176658864,10
categorical,M1,N7,E11b,T12b,0.09882290195425278,0.2310154064168805,10.0,1.0531515576667672,1.2679474002753535,10
categorical,M1,N7,E11b,T12e,0.0,0.0,10.0,0.0,0.0,10
categorical,M1,N8,E10b,T12a,37.71039443712849,7.295480102273699,10.0,39.169116994685005,4.772361222309767,10
categorical,M1,N8,E10b,T12b,39.94039332758357,6.824890691681633,10.0,38.67902614232334,5.343242485958861,10
categorical,M1,N8,E10b,T12e,39.18348213680149,6.5596539647859045,10.0,38.00718407628023,5.33004949294753,10
categorical,M1,N8,E10c,T12a,38.925226713348465,7.001653382295864,10.0,38.64050928238878,6.103718619615888,10
categorical,M1,N8,E10c,T12b,39.00302575248067,4.331757258753909,10.0,37.38079888912283,6.2627881458495,10
categorical,M1,N8,E10c,T12e,39.92456170039067,5.142215713366094,10.0,37.924625118144775,5.262512783967166,10
categorical,M1,N8,E11a,T12a,11.800015856587546,5.036106580223007,10.0,10.408075575276461,5.24991419817984,10
categorical,M1,N8,E11a,T12b,11.589404995014885,5.507858456697053,10.0,8.914536954347735,5.0003258135681214,10
categorical,M1,N8,E11a,T12e,11.571919264464247,5.644451306448318,10.0,9.04678447664504,4.1455605005265435,10
categorical,M1,N8,E11b,T12a,6.14643155833855,5.315872183639616,10.0,5.366160083664608,5.438076746082368,10
categorical,M1,N8,E11b,T12b,5.794820788889057,4.216526129455662,10.0,4.981151304150726,3.6268733098204065,10
categorical,M1,N8,E11b,T12e,3.7152045558012787,4.393045746902589,10.0,4.690973767092268,4.746498006843346,10
edge_categorical,M3,N7,E10b,T12a,0.0,0.0,9.0,0.0,0.0,10
edge_categorical,M3,N7,E10b,T12b,0.253626513066522,0.7608795391995661,9.0,0.0,0.0,10
edge_categorical,M3,N7,E10b,T12e,0.0,0.0,9.0,0.0,0.0,10
edge_categorical,M3,N8,E10b,T12a,3.601032492610936,11.387464604924016,10.0,9.24623404768863,20.09217022930379,10
edge_categorical,M3,N8,E10b,T12b,7.2059354835660985,22.787168800295703,10.0,2.7762279020037064,8.779203474042449,10
edge_categorical,M3,N8,E10b,T12e,1.9417063172787894,6.140214509738531,10.0,4.562644311601202,12.071622169340277,7
global_categorical,M5,N7,E10b,T12a,5.487359393476049,7.9348115481451895,10.0,3.543414742927099,6.648399687900369,10
global_categorical,M5,N7,E10b,T12b,0.30561101795416146,0.9664268947777623,10.0,5.348680818679655,6.648589127248058,10
global_categorical,M5,N7,E10b,T12e,0.8083018154362274,1.8362328649163058,10.0,1.9506653037742283,6.13305738265305,10
global_categorical,M5,N7,E10c,T12a,2.1262730542883608,3.7357701853652605,10.0,2.4947358675230404,5.26926617591307,10
