Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,1.0081686973571775,0.7033333333333334,0.86,0.7504513263702393,0.7033333333333334,,,,,accuracy,0.7033333333333334,,70.33333333333334,1000.0,130.415,7.250427333922261,2.3655266638301,18.0,train,False,,,0
M1,N7,E10b,T12a,categorical,1.1133311986923218,0.69,0.86,0.7242512106895447,0.69,,,,,accuracy,0.69,,69.0,1000.0,130.661,7.272168341507912,2.4031174329209217,18.0,train,False,,,1
M1,N7,E10b,T12a,categorical,1.0966068506240845,0.6833333333333333,0.84,0.7154269814491272,0.6833333333333333,,,,,accuracy,0.6833333333333333,,68.33333333333333,1000.0,134.048,7.247702458283312,2.3920726910571597,18.0,train,False,,,2
M1,N7,E10b,T12a,categorical,1.0130517482757568,0.74,0.89,0.7590982913970947,0.74,,,,,accuracy,0.74,,74.0,1000.0,135.502,7.265949791697949,2.3726144625127072,18.0,train,False,,,3
M1,N7,E10b,T12a,categorical,1.0518139600753784,0.72,0.87,0.7437632083892822,0.72,,,,,accuracy,0.72,,72.0,1000.0,130.462,7.25196398843481,2.402910732768787,18.0,train,False,,,4
M1,N7,E10b,T12a,categorical,1.0483444929122925,0.6966666666666667,0.8666666666666667,0.7357878088951111,0.6966666666666667,,,,,accuracy,0.6966666666666667,,69.66666666666667,1000.0,127.871,7.266763744180334,2.362344106964197,18.0,train,False,,,5
M1,N7,E10b,T12a,categorical,1.206559658050537,0.6833333333333333,0.8633333333333333,0.7078666090965271,0.6833333333333333,,,,,accuracy,0.6833333333333333,,68.33333333333333,1000.0,130.484,7.277705975503223,2.384797051128486,18.0,train,False,,,6
M1,N7,E10b,T12a,categorical,1.0304443836212158,0.73,0.8766666666666667,0.7516055703163147,0.73,,,,,accuracy,0.73,,73.0,1000.0,130.496,7.275616620089292,2.38816630064099,18.0,train,False,,,7
M1,N7,E10b,T12a,categorical,1.0008432865142822,0.7366666666666667,0.8966666666666666,0.7570831775665283,0.7366666666666667,,,,,accuracy,0.7366666666666667,,73.66666666666667,1000.0,132.112,7.272901473412449,2.3342164789814053,18.0,train,False,,,8
M1,N7,E10b,T12a,categorical,1.2086799144744873,0.6966666666666667,0.8533333333333334,0.7156178951263428,0.6966666666666667,,,,,accuracy,0.6966666666666667,,69.66666666666667,1000.0,133.045,7.287921745518223,2.3981303281711464,18.0,train,False,,,9
M1,N7,E10b,T12a,categorical,0.9135758280754088,0.7466666666666667,0.8966666666666666,0.77490234375,0.7466666666666667,,,,,accuracy,0.7466666666666667,,74.66666666666667,1000.0,127.576,7.233189724389127,2.3570352217965467,18.0,train,False,,,10
M1,N7,E10b,T12a,categorical,0.983811616897583,0.7566666666666667,0.8766666666666667,0.7663742899894714,0.7566666666666667,,,,,accuracy,0.7566666666666667,,75.66666666666667,1000.0,127.208,7.288459131196572,2.3095373796377414,18.0,train,False,,,11
