task_type,Task_Idx,Node_Idx,Edge_Idx,Text_Idx,train_mean,train_std,n_train_valid,test_mean,test_std,n_test_valid
global_scalar,M6,N9,E10c,T12b,0.0,0.0,10,0.0,0.0,10
global_scalar,M6,N9,E10c,T12e,0.0,0.0,10,0.0,0.0,10
global_scalar,M6,N9,E11a,T12a,0.0,0.0,10,0.0,0.0,10
global_scalar,M6,N9,E11a,T12b,0.0,0.0,10,0.0,0.0,10
global_scalar,M6,N9,E11a,T12e,0.0,0.0,10,0.0,0.0,10
global_scalar,M6,N9,E11b,T12a,0.0,0.0,10,0.0,0.0,10
global_scalar,M6,N9,E11b,T12b,0.0,0.0,10,0.0,0.0,10
global_scalar,M6,N9,E11b,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E10a,T12a,0.0,0.0,9,0.0,0.0,10
scalar,M2,N7,E10a,T12b,0.0,0.0,9,0.0,0.0,10
scalar,M2,N7,E10a,T12e,0.0,0.0,9,0.0,0.0,10
scalar,M2,N7,E10b,T12a,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E10b,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E10b,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E10c,T12a,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E10c,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E10c,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E11a,T12a,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E11a,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E11a,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E11b,T12a,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E11b,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E11b,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E11c,T12a,0.0,0.0,9,0.0,0.0,10
scalar,M2,N7,E11c,T12b,0.0,0.0,9,0.0,0.0,10
scalar,M2,N7,E11c,T12e,0.0,0.0,9,0.0,0.0,10
scalar,M2,N9,E10b,T12a,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E10b,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E10b,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E10c,T12a,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E10c,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E10c,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E11a,T12a,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E11a,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E11a,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E11b,T12a,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E11b,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E11b,T12e,0.0,0.0,10,0.0,0.0,10
