task_type,Task_Idx,Node_Idx,Edge_Idx,Text_Idx,train_mean,train_std,n_train_valid,test_mean,test_std,n_test_valid
categorical,M1,N7,E10b,T12a,0.04830761970442017,0.15276210660719772,10,0.0,0.0,10
categorical,M1,N7,E10b,T12b,0.0,0.0,10,0.0,0.0,10
categorical,M1,N7,E10b,T12e,0.0,0.0,10,0.0,0.0,10
categorical,M1,N7,E10c,T12a,0.0,0.0,10,0.09254018222501065,0.2833819192265884,10
categorical,M1,N7,E10c,T12b,0.0,0.0,10,0.0,0.0,10
categorical,M1,N7,E10c,T12e,0.0,0.0,10,0.0,0.0,10
categorical,M1,N7,E11a,T12a,0.3486337165873682,0.7407713038864627,10,1.2776906840598383,2.328107562653401,10
categorical,M1,N7,E11a,T12b,0.17209395427232493,0.5442088670454118,10,0.11157339991341231,0.17178679207686612,10
categorical,M1,N7,E11a,T12e,0.0,0.0,10,0.0,0.0,10
categorical,M1,N7,E11b,T12a,1.5543583281137912,2.4567225038538125,10,0.9633381351088289,1.989254539469617,10
categorical,M1,N7,E11b,T12b,0.3617688699391175,0.6812123606120367,10,0.5751301313079669,1.241398736996596,10
categorical,M1,N7,E11b,T12e,0.0,0.0,10,0.0,0.0,10
categorical,M1,N8,E10a,T12a,0.10663049602473706,0.23432115946699641,10,0.20181658858769075,0.4919594930603424,10
categorical,M1,N8,E10a,T12b,0.4544864386639348,0.8561478153702722,10,0.6724314453566238,1.1296407634201,10
categorical,M1,N8,E10a,T12e,0.49651124874977964,0.6319107107240358,10,0.30615278915387306,0.5054798477320368,10
categorical,M1,N8,E10b,T12a,0.5570214912012281,0.8830173109182706,10,0.07813139170687575,0.2470731545525182,10
categorical,M1,N8,E10b,T12b,0.40106959284172455,0.8472058256371044,10,0.41440686484208744,0.5942791623271131,10
categorical,M1,N8,E10b,T12e,0.3364446581800926,0.5972354040104049,10,1.0073594814453908,1.4617929664865865,10
categorical,M1,N8,E10c,T12a,0.6080501177596783,0.7975334641198497,10,0.30432105584812963,0.5934130401034954,10
categorical,M1,N8,E10c,T12b,0.39471759384494004,0.5580777144642534,10,0.40514542442346774,0.6619135540659057,10
categorical,M1,N8,E10c,T12e,0.5323351979380597,0.7754140772750253,10,0.7996659045610048,1.3860022329719452,10
categorical,M1,N8,E11a,T12a,0.4869061534283145,1.099812820595068,10,0.46740396243247995,0.9264442145646491,10
categorical,M1,N8,E11a,T12b,0.5989307924760929,1.279252678509614,10,0.5047544067773867,0.7782941993681257,10
categorical,M1,N8,E11a,T12e,0.7412765643255421,1.7507766677583845,10,0.9539101783717154,1.5557571736766733,10
categorical,M1,N8,E11b,T12a,0.5895641351496649,0.9796707782806623,10,0.02540027851582861,0.08032273331265966,10
categorical,M1,N8,E11b,T12b,0.19719212217742088,0.44812547281169046,10,0.8802935099455983,1.2435132878786872,10
categorical,M1,N8,E11b,T12e,0.5400839240156712,0.9601547454644661,10,0.7381962005896063,1.1089634568965319,10
categorical,M1,N8,E11c,T12a,1.1403002657256465,1.3892467305994003,10,0.45866824136225653,0.623439542261037,10
categorical,M1,N8,E11c,T12b,0.4821279362395992,0.7242083373751583,10,0.547831136058473,0.8361399236877807,10
categorical,M1,N8,E11c,T12e,0.7666700436039526,0.9919014749498781,10,0.6576007638445602,1.0276066034721159,10
categorical,M1,N9,E10b,T12a,0.11834487941776099,0.37423936837810623,10,0.0,0.0,10
categorical,M1,N9,E10b,T12b,0.0,0.0,10,0.0,0.0,10
categorical,M1,N9,E10b,T12e,0.0,0.0,10,0.0,0.0,10
categorical,M1,N9,E10c,T12a,0.1132500549437064,0.3581281187613242,10,0.0,0.0,10
categorical,M1,N9,E10c,T12b,0.10747217983379362,0.3398568733780042,10,0.0,0.0,10
categorical,M1,N9,E10c,T12e,0.0,0.0,10,0.0,0.0,10
categorical,M1,N9,E11a,T12a,0.79893075766283,1.697734856074567,10,0.0,0.0,10
categorical,M1,N9,E11a,T12b,0.0,0.0,10,0.00273656764967554,0.008653786744108447,10
categorical,M1,N9,E11a,T12e,0.8375865012579435,1.8632554923867617,10,0.0,0.0,10
categorical,M1,N9,E11b,T12a,1.235365133075907,2.022501256460015,10,0.31704128590094005,0.6883015755649173,10
categorical,M1,N9,E11b,T12b,0.5978928668976164,1.013460772415872,10,0.4701987203263441,1.0125802165660254,10
categorical,M1,N9,E11b,T12e,0.25737014870404185,0.5497613382365447,10,0.00542024225836234,0.017140311006319835,10
edge_categorical,M3,N7,E10b,T12a,0.0,0.0,10,2.8511026653530664,6.274588361432669,10
edge_categorical,M3,N7,E10b,T12b,0.0,0.0,10,2.195413833659397,6.942508121005729,10
edge_categorical,M3,N7,E10b,T12e,0.0,0.0,10,0.0,0.0,10
edge_categorical,M3,N8,E10b,T12a,0.0,0.0,7,0.0,0.0,5
edge_categorical,M3,N8,E10b,T12b,0.0,0.0,7,0.0,0.0,5
edge_categorical,M3,N8,E10b,T12e,0.0,0.0,7,2.8738140424670555,5.2374591013762455,5
edge_scalar,M4,N7,E10b,T12a,4.942168759323162,8.190745653419238,10,6.852101462300444,6.309734984018418,10
edge_scalar,M4,N7,E10b,T12b,4.638459015389422,5.704285422542048,10,3.3582813835548975,5.093792996920036,10
edge_scalar,M4,N7,E10b,T12e,0.0,0.0,10,0.0,0.0,10
edge_scalar,M4,N8,E10b,T12a,0.0,0.0,8,0.0,0.0,7
edge_scalar,M4,N8,E10b,T12b,0.38398951292037964,1.0860863539620793,8,0.0,0.0,7
edge_scalar,M4,N8,E10b,T12e,0.0,0.0,8,0.0,0.0,7
global_categorical,M5,N7,E10b,T12a,1.2620737932123562,3.9910277617594008,10,0.45314885350792145,1.4329824961790136,10
global_categorical,M5,N7,E10b,T12b,0.057651867072828746,0.1504921141445528,10,0.7807816996963696,1.8233483948921503,10
global_categorical,M5,N7,E10b,T12e,0.0,0.0,10,0.09565166843949921,0.23179076791700454,10
global_categorical,M5,N7,E10c,T12a,0.9384808312243568,2.319854051660813,10,0.7076920009914625,1.7907354983668822,10
global_categorical,M5,N7,E10c,T12b,1.2422261659382094,2.6191922814723503,10,0.5706034063602592,1.203630141720574,10
global_categorical,M5,N7,E10c,T12e,0.3537230623859239,1.1185705380693531,10,0.6703590397032458,2.05867737433827,10
global_categorical,M5,N7,E11a,T12a,0.8945920260631937,2.828948378984406,10,4.95911263365451,4.306648530783238,10
global_categorical,M5,N7,E11a,T12b,0.0,0.0,10,1.0646056998660247,1.6428146177120622,10
global_categorical,M5,N7,E11a,T12e,1.8447009525389355,4.015233871576824,10,0.12429390221809784,0.3930518302794438,10
global_categorical,M5,N7,E11b,T12a,1.1585973031668826,2.2268059466940113,10,3.9184055821122437,4.820770631423663,10
global_categorical,M5,N7,E11b,T12b,2.045013120137835,4.097731679424461,10,0.059666229201839914,0.18868118367146455,10
global_categorical,M5,N7,E11b,T12e,1.032415086639784,2.361605230045493,10,0.45884110628608854,1.1415341953910225,10
global_categorical,M5,N8,E10a,T12a,0.0,0.0,10,0.0,0.0,10
global_categorical,M5,N8,E10a,T12b,0.3269907702946345,1.034035607983973,10,0.3263270496614138,1.0319367390529461,10
global_categorical,M5,N8,E10a,T12e,0.0,0.0,10,0.309041629914904,0.977275442341925,10
global_categorical,M5,N8,E10b,T12a,0.7108153801498154,1.5450535095483062,10,0.0,0.0,10
global_categorical,M5,N8,E10b,T12b,0.0,0.0,10,0.0,0.0,10
global_categorical,M5,N8,E10b,T12e,0.6508233038924902,1.9965965155432999,10,0.2371491044283743,0.6668731067759729,10
global_categorical,M5,N8,E10c,T12a,0.0,0.0,10,0.40052700726621104,1.2665776073720374,10
global_categorical,M5,N8,E10c,T12b,0.4223469175861873,0.8904234060241095,10,0.0,0.0,10
global_categorical,M5,N8,E10c,T12e,0.19565167073902176,0.618704907552628,10,0.0,0.0,10
global_categorical,M5,N8,E11a,T12a,1.143782900135441,3.616959113180905,10,1.0981266937219027,3.472581511591337,10
global_categorical,M5,N8,E11a,T12b,0.683105184409162,1.4734605794325133,10,0.8298896728920677,2.62434157299103,10
global_categorical,M5,N8,E11a,T12e,1.6682141340088357,3.5848437216746234,10,1.2712370452399875,4.020004508940873,10
global_categorical,M5,N8,E11b,T12a,0.13839476534929293,0.437642674748314,10,0.0,0.0,10
global_categorical,M5,N8,E11b,T12b,0.0,0.0,10,1.2574409934541908,2.676355533183941,10
