dataset,Node_Idx,Edge_Idx,Text_Idx,variant,split,n_rows,n_nodes,n_edges,isolated_frac,mean_degree,status,S_GNN_step1,pseudo_r2,accuracy,n_classes,seconds
toys,N7,E10c,T12a,N7/E10c/T12a,test,29064,15921,809437,0.08799698203802109,101.68167877197266,ok,0.5007945068077351,0.5007945068077351,,16,292.6913070678711
toys,N7,E10c,T12b,N7/E10c/T12b,test,29064,15921,809437,0.08799698203802109,101.68167877197266,ok,0.4959163032062507,0.4959163032062507,,16,292.2029309272766
toys,N7,E11a,T12a,N7/E11a/T12a,test,29064,15921,21564,0.4661139249801636,2.7088751792907715,ok,0.5416954759539065,0.5416954759539065,,16,22.878430366516113
toys,N7,E11a,T12b,N7/E11a/T12b,test,29064,15921,40793,0.3392374813556671,5.12442684173584,ok,0.5554925102847844,0.5554925102847844,,16,27.898363828659058
toys,N7,E11b,T12a,N7/E11b/T12a,test,29064,15921,75652,0.0,9.503422737121582,ok,0.4932268360215589,0.4932268360215589,,16,47.202614068984985
toys,N7,E11b,T12b,N7/E11b/T12b,test,29064,15921,75652,0.0,9.503422737121582,ok,0.5017985388838819,0.5017985388838819,,16,46.12667512893677
toys,N8,E10a,T12a,N8/E10a/T12a,test,29064,8759,5965,0.48224684596061707,1.362027645111084,ok,0.46700406072887635,0.46700406072887635,,16,14.230416059494019
toys,N8,E10a,T12b,N8/E10a/T12b,test,29064,8759,5965,0.48224684596061707,1.362027645111084,ok,0.4664891236494203,0.4664891236494203,,16,13.392570972442627
toys,N8,E10c,T12a,N8/E10c/T12a,test,29064,8759,31023,0.15972143411636353,7.083685398101807,ok,0.44820099765463217,0.44820099765463217,,16,19.463207244873047
toys,N8,E10c,T12b,N8/E10c/T12b,test,29064,8759,31023,0.15972143411636353,7.083685398101807,ok,0.4186314139563976,0.4186314139563976,,16,23.659516096115112
toys,N8,E11a,T12a,N8/E11a/T12a,test,29064,8759,278343,0.2501427233219147,63.555885314941406,ok,0.4632834040258792,0.4632834040258792,,16,107.27356505393982
toys,N8,E11a,T12b,N8/E11a/T12b,test,29064,8759,278343,0.2501427233219147,63.555885314941406,ok,0.43682460741698437,0.43682460741698437,,16,50.24520015716553
toys,N8,E11b,T12a,N8/E11b/T12a,test,29064,8759,42814,0.0,9.776001930236816,ok,0.41603792698578523,0.41603792698578523,,16,17.061174154281616
toys,N8,E11b,T12b,N8/E11b/T12b,test,29064,8759,42814,0.0,9.776001930236816,ok,0.42165708026155346,0.42165708026155346,,16,19.535819053649902
toys,N9,E10c,T12a,N9/E10c/T12a,test,29064,13945,774985,0.07049121707677841,111.14879608154297,ok,0.503519276273646,0.503519276273646,,16,263.9466440677643
toys,N9,E10c,T12b,N9/E10c/T12b,test,29064,13945,774985,0.07049121707677841,111.14879608154297,ok,0.4904967537136494,0.4904967537136494,,16,253.26324677467346
toys,N9,E11a,T12a,N9/E11a/T12a,test,29064,13945,27555,0.4245966374874115,3.9519541263580322,ok,0.5227134568463188,0.5227134568463188,,16,14.669137954711914
toys,N9,E11a,T12b,N9/E11a/T12b,test,29064,13945,27555,0.4245966374874115,3.9519541263580322,ok,0.5180116600092938,0.5180116600092938,,16,14.510364770889282
toys,N9,E11b,T12a,N9/E11b/T12a,test,29064,13945,65788,0.0,9.43535327911377,ok,0.48335343816368226,0.48335343816368226,,16,104.93333387374878
toys,N9,E11b,T12b,N9/E11b/T12b,test,29064,13945,65788,0.0,9.43535327911377,ok,0.482275977718698,0.482275977718698,,16,105.50825214385986
