dataset,Node_Idx,Edge_Idx,Text_Idx,variant,split,n_rows,n_nodes,n_edges,isolated_frac,mean_degree,status,S_GNN_step1,pseudo_r2,accuracy,n_classes,seconds
arxiv,N7,E10b,T12a,N7/E10b/T12a,test,50000,50000,125858,0.18716000020503998,5.034319877624512,ok,0.7839768511124692,0.7839768511124692,,18,82.72304081916809
arxiv,N7,E10b,T12b,N7/E10b/T12b,test,50000,50000,125858,0.18716000020503998,5.034319877624512,ok,0.7173354768343938,0.7173354768343938,,18,84.03496193885803
arxiv,N7,E10b,T12e,N7/E10b/T12e,test,50000,50000,125858,0.18716000020503998,5.034319877624512,ok,0.0,-0.012061043144118377,,18,68.58402299880981
arxiv,N7,E10c,T12a,N7/E10c/T12a,test,50000,50000,125858,0.18716000020503998,5.034319877624512,ok,0.7913955118026748,0.7913955118026748,,18,76.8241012096405
arxiv,N7,E10c,T12b,N7/E10c/T12b,test,50000,50000,125858,0.18716000020503998,5.034319877624512,ok,0.7153012241538077,0.7153012241538077,,18,87.1135938167572
arxiv,N7,E10c,T12e,N7/E10c/T12e,test,50000,50000,125858,0.18716000020503998,5.034319877624512,ok,0.0,-0.01982331514965141,,18,67.04086923599243
arxiv,N7,E11a,T12a,N7/E11a/T12a,test,50000,50000,21576,0.7027400135993958,0.8630399703979492,ok,0.7491388543884356,0.7491388543884356,,18,53.95803189277649
arxiv,N7,E11a,T12b,N7/E11a/T12b,test,50000,50000,14460,0.7396600246429443,0.5784000158309937,ok,0.6233638315873391,0.6233638315873391,,18,43.90316104888916
arxiv,N7,E11a,T12e,N7/E11a/T12e,test,50000,50000,0,1.0,0.0,ok,0.0,-0.0006097890948064677,,18,41.23676800727844
arxiv,N7,E11b,T12a,N7/E11b/T12a,test,50000,50000,248990,0.0,9.959600448608398,ok,0.7302231009755306,0.7302231009755306,,18,170.2563829421997
arxiv,N7,E11b,T12b,N7/E11b/T12b,test,50000,50000,248990,0.0,9.959600448608398,ok,0.611295529049235,0.611295529049235,,18,167.34852933883667
arxiv,N7,E11b,T12e,N7/E11b/T12e,test,50000,50000,248990,0.0,9.959600448608398,ok,0.0,-0.00116766252353262,,18,161.3044958114624
arxiv,N8,E10b,T12a,N8/E10b/T12a,test,50000,89626,774187,0.0651373490691185,17.27594757080078,ok,0.7937954638234586,0.7937954638234586,,18,492.6183068752289
arxiv,N8,E10b,T12b,N8/E10b/T12b,test,50000,89626,774187,0.0651373490691185,17.27594757080078,ok,0.7907889314185632,0.7907889314185632,,18,439.95721530914307
arxiv,N8,E10b,T12e,N8/E10b/T12e,test,50000,89626,774187,0.0651373490691185,17.27594757080078,ok,0.0026539169240311633,0.0026539169240311633,,18,356.01984691619873
arxiv,N8,E10c,T12a,N8/E10c/T12a,test,50000,89626,774165,0.0651373490691185,17.275455474853516,ok,0.7970734452154242,0.7970734452154242,,18,300.7629089355469
arxiv,N8,E10c,T12b,N8/E10c/T12b,test,50000,89626,774165,0.0651373490691185,17.275455474853516,ok,0.7924482411856011,0.7924482411856011,,18,182.83682680130005
arxiv,N8,E10c,T12e,N8/E10c/T12e,test,50000,89626,774165,0.0651373490691185,17.275455474853516,ok,0.0009978381323983987,0.0009978381323983987,,18,291.59872484207153
arxiv,N8,E11a,T12a,N8/E11a/T12a,test,50000,89626,715823,0.12248677760362625,15.973556518554688,ok,0.7796022593991427,0.7796022593991427,,18,294.6451735496521
arxiv,N8,E11a,T12b,N8/E11a/T12b,test,50000,89626,715823,0.12248677760362625,15.973556518554688,ok,0.7744798458969028,0.7744798458969028,,18,270.21709418296814
arxiv,N8,E11a,T12e,N8/E11a/T12e,test,50000,89626,0,1.0,0.0,ok,0.0,-0.0005333305226984386,,18,37.79514026641846
arxiv,N8,E11b,T12a,N8/E11b/T12a,test,50000,89626,445003,0.0,9.930221557617188,ok,0.7245764112822148,0.7245764112822148,,18,211.94229912757874
arxiv,N8,E11b,T12b,N8/E11b/T12b,test,50000,89626,445003,0.0,9.930221557617188,ok,0.7259310996690665,0.7259310996690665,,18,236.13285088539124
arxiv,N8,E11b,T12e,N8/E11b/T12e,test,50000,89626,445003,0.0,9.930221557617188,ok,0.0,-0.0015063873874263667,,18,216.59430718421936
