dataset,n_matched,diagonal_rho,diagonal_p,mean_abs_diff,ted,norm_ted,n_nodes_500tree,n_nodes_1000tree
history,48,0.8651758575770734,2.184326232529497e-15,5.599340032550649,16,0.5161290322580645,23,31
amazon,90,0.7512285467341645,1.4837164564148017e-17,6.49245157656553,39,0.7647058823529411,47,51
arxiv,50,0.9534294526532985,1.2380030655777163e-26,4.145452606145282,15,0.5172413793103449,27,29
electronics,87,0.8708172340890864,6.053085226316749e-28,5.323135708909073,37,0.7254901960784313,51,51
toys,63,0.4361611482786751,0.0003524897733958475,4.787457320547532,49,1.4,31,35
