dataset,n_matched_M1,diagonal_rho_M1,diagonal_p_M1,mean_diff,mean_abs_diff,max_abs_diff,ted_M1,norm_ted_M1
history,8,0.8571428571428572,0.006530017254715292,6.8798451973136,6.8798451973136,9.063816059370744,3,0.6
amazon,38,0.9367545683335156,5.412939364112813e-18,10.59988289967975,10.59988289967975,13.190276661092263,11,0.4782608695652174
arxiv,20,0.9458646616541352,3.1136042140271904e-10,3.6355340810082595,3.688244622382244,8.895845831126696,1,0.09090909090909091
electronics,38,0.9606083816610131,1.3109298972206307e-21,9.845181259747921,9.845181259747921,12.553211595922704,13,0.5652173913043478
toys,34,0.7836516424751718,4.241919568737312e-08,5.3788311757238905,5.3788311757238905,9.909149037296373,12,0.5714285714285714
