variant,raw_gnn_train_mean
N7_E10b_T12a,54.54109726904737
N7_E10b_T12b,54.516007686120496
N7_E10c_T12a,54.13425364928053
N7_E10c_T12b,55.25261278716537
N7_E11a_T12a,56.72891004631957
N7_E11a_T12b,56.78932352796342
N7_E11b_T12a,57.18359436117151
N7_E11b_T12b,57.877830615020706
N8_E10a_T12a,13.707668883481686
N8_E10a_T12b,14.318990198808393
N8_E10a_T12e,13.524540598695467
N8_E10b_T12a,12.929254232430413
N8_E10b_T12b,12.465834340851938
N8_E10b_T12e,12.31983023555267
N8_E10c_T12a,12.763933076357862
N8_E10c_T12b,13.100751954486082
N8_E10c_T12e,12.898780115992018
N8_E11a_T12a,11.481933139939715
N8_E11a_T12b,11.323050947606522
N8_E11a_T12e,11.905826370710821
N8_E11b_T12a,11.51218341531077
N8_E11b_T12b,11.63603053473339
N8_E11b_T12e,10.779902455390145
N8_E11c_T12a,13.66722811352139
N8_E11c_T12b,13.480280582466463
N8_E11c_T12e,13.645459637854518
N9_E10b_T12a,52.5647216033076
N9_E10b_T12b,52.19598882346772
N9_E10b_T12e,52.52106396578715
N9_E10c_T12a,53.18988806847658
N9_E10c_T12b,52.99465545939008
N9_E10c_T12e,52.503235301961006
N9_E11a_T12a,55.58977951471806
N9_E11a_T12b,55.65283357126869
N9_E11a_T12e,55.27442835984824
N9_E11b_T12a,55.41947607512656
N9_E11b_T12b,55.91185224408674
N9_E11b_T12e,55.86935323899921
