variant,raw_gnn_train_mean
N7_E10b_T12a,40.74174105332494
N7_E10b_T12b,38.73679168525954
N7_E10c_T12a,40.15783400350414
N7_E10c_T12b,38.87946260530057
N7_E11a_T12a,42.21113851599443
N7_E11a_T12b,40.25564484096888
N7_E11b_T12a,43.60886769821098
N7_E11b_T12b,42.04527908189531
N8_E10a_T12a,12.6267018442375
N8_E10a_T12b,12.974050146791646
N8_E10a_T12e,12.858646545441625
N8_E10b_T12a,12.895009856746206
N8_E10b_T12b,12.606389150791001
N8_E10b_T12e,12.8471017286763
N8_E10c_T12a,12.70042193257434
N8_E10c_T12b,12.957363664580116
N8_E10c_T12e,12.81262224572133
N8_E11a_T12a,12.289800319809194
N8_E11a_T12b,12.18958808126797
N8_E11a_T12e,12.09810198349904
N8_E11b_T12a,12.531866460868557
N8_E11b_T12b,12.62803898947014
N8_E11b_T12e,12.300183235724267
N8_E11c_T12a,13.064048602598893
N8_E11c_T12b,12.45628060347745
N8_E11c_T12e,12.671950387840248
N9_E10b_T12a,37.440802277198756
N9_E10b_T12b,37.731997144390604
N9_E10b_T12e,37.56120518382895
N9_E10c_T12a,37.527844614578015
N9_E10c_T12b,37.86364757878168
N9_E10c_T12e,37.59329273303808
N9_E11a_T12a,38.94273857573752
N9_E11a_T12b,39.01343692076899
N9_E11a_T12e,39.119670208238254
N9_E11b_T12a,40.71352065804885
N9_E11b_T12b,41.000321522170964
N9_E11b_T12e,40.75325144272881
