variant,raw_gnn_train_mean
N7_E10b_T12a,54.33494941329088
N7_E10b_T12b,38.12631047833317
N7_E10c_T12a,54.0127083719375
N7_E10c_T12b,38.50200508013276
N7_E11a_T12a,54.39232184447354
N7_E11a_T12b,38.84224683044496
N7_E11b_T12a,54.6727677274258
N7_E11b_T12b,38.97385968700546
N8_E10b_T12a,84.09192610201376
N8_E10b_T12b,84.15994164070705
N8_E10b_T12e,84.09470508459444
N8_E10c_T12a,84.19927924995822
N8_E10c_T12b,83.96151440123181
N8_E10c_T12e,83.91195705663272
N8_E11a_T12a,77.15167803969665
N8_E11a_T12b,76.96327912207104
N8_E11a_T12e,77.11156244298212
N8_E11b_T12a,75.50837688452859
N8_E11b_T12b,75.65445095754836
N8_E11b_T12e,75.57351687467848
