dataset,all_n,all_rho,all_p,N7_n,N7_rho,N7_p,N8_n,N8_rho,N8_p,N9_n,N9_rho,N9_p,E11b_floor_all_node_types,node_types_present
arxiv,20,0.2646616541353383,0.25946936992853786,8,-0.28571428571428575,0.4927262450169573,12,0.7342657342657343,0.006543490146837885,0,,,True,"N7,N8"
amazon,38,0.19050224313382208,0.2519460884178459,8,-0.2142857142857143,0.6103444156452669,18,0.6346749226006192,0.00466284274887114,12,-0.35664335664335667,0.25513775175895714,True,"N7,N8,N9"
history,9,-0.31666666666666665,0.4063970144863861,9,-0.31666666666666665,0.4063970144863861,0,,,0,,,True,N7
electronics,38,0.22858080752817594,0.16747859462602768,8,-0.38095238095238104,0.3518125531175647,18,0.5397316821465429,0.020782714646741193,12,-0.16083916083916086,0.6175234895401425,True,"N7,N8,N9"
toys,38,0.2003501477185688,0.22779461956271232,8,-0.14285714285714288,0.735764859879812,18,0.23632610939112486,0.34510124880977866,12,0.2657342657342658,0.40383308831471165,True,"N7,N8,N9"
