system_name,node_idx,edge_idx,text_idx,train_mean,mean_composite,train_mean_M3
N7_E10b_T12a_text_based,N7,E10b,T12a,40.741741053324944,0.6252498813106823,1.188958042882931
N7_E10b_T12b_text_based,N7,E10b,T12b,38.73679168525954,0.6131932146173276,1.8535874364411495
N8_E10b_T12a_text_based,N8,E10b,T12a,12.895009856746206,0.6320177078356892,0.002261720924873333
N8_E10b_T12b_text_based,N8,E10b,T12b,12.606389150791,0.6400139976461504,0.15491749273341482
N8_E10b_T12e_text_based,N8,E10b,T12e,12.847101728676298,0.6299824721500753,0.008860420095030372
