variant,mean_ragas_composite,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily,raw_gnn_train_mean,edge_idx
N7_E10b_T12a,0.5208156277187524,6927,71480,20.63808286415476,0.393532553775083,0.0379673740435975,1.0,3625,0.7462071710159396,1.9108965517241376,0.0379673740435975,0.752,0.000144362638949,8.970133201613033e-05,0.3035555367378674,0.4586401039411,,0.6706210392535281,N7,0.9116955791829884,9.755687271397713,E10b
N7_E10b_T12b,0.5250632382992557,6927,71480,20.63808286415476,0.393532553775083,0.0379673740435975,1.0,3625,0.7462071710159396,1.9108965517241376,0.0379673740435975,0.752,0.000144362638949,8.970133201613033e-05,0.3035555367378674,0.4586401039411,,0.5876616709500218,N7,0.9116955791829884,7.971351582214677,E10b
N7_E10c_T12a,0.5240844744174669,6927,71480,20.63808286415476,0.393532553775083,0.0379673740435975,1.0,3625,0.7462071710159396,1.9108965517241376,0.0379673740435975,0.752,0.000144362638949,8.970133201613033e-05,0.3035555367378674,0.4586401039411,,0.6706210392535281,N7,0.9116955791829884,8.598122569228197,E10c
N7_E10c_T12b,0.526259806198748,6927,71480,20.63808286415476,0.393532553775083,0.0379673740435975,1.0,3625,0.7462071710159396,1.9108965517241376,0.0379673740435975,0.752,0.000144362638949,8.970133201613033e-05,0.3035555367378674,0.4586401039411,,0.5876616709500218,N7,0.9116955791829884,8.755849832605241,E10c
N7_E11a_T12a,0.7478431598888184,6927,4467,1.289735816370723,0.6070448967807132,0.1357008806120976,27.0,4755,0.95664976236199,1.456782334384858,0.0131370001443626,0.8843322818086226,0.000144362638949,0.0001467808267067,0.48645459073902,0.1274266459765554,,1.0,N7,0.8623237071860309,10.871622516415352,E11a
N7_E11a_T12b,0.7425337058885961,6927,7630,2.2029738703623503,0.4893893460372455,0.2025407824455031,28.0,4051,0.942114094017373,1.709948160947914,0.0269958134834704,0.8368304122438904,0.000144362638949,0.0001257745766212,0.4524142052513231,0.2222779042798714,,1.0,N7,0.8039318479685452,9.996877575477864,E11a
N7_E11b_T12a,0.4162686374926448,6927,307303,88.72614407391367,0.0,0.393532553775083,2.0,21,0.7663290376214095,329.85714285714283,0.393532553775083,0.0,0.000144362638949,0.0002786182678395,0.3892318060576157,0.841558261972517,,0.5051787288148066,N7,0.7634061496308204,10.670575138168058,E11b
N7_E11b_T12b,0.4431435559590987,6927,307303,88.72614407391367,0.0,0.393532553775083,2.0,21,0.7663290376214095,329.85714285714283,0.393532553775083,0.0,0.000144362638949,0.0002786182678395,0.3892318060576157,0.841558261972517,,0.5112496715935663,N7,0.7634061496308204,10.993543599811343,E11b
N8_E10a_T12a,0.5456908360086046,3625,213,0.1175172413793103,0.9315862068965516,0.0030344827586206,1.0,3487,0.9183363089334128,1.0395755663894466,0.0030344827586206,0.9684542586750788,0.0002758620689655,0.0002775950174709,0.25404054599303,0.016,0.0,0.9523809523809524,N8,,0.9475718705776714,E10a
N8_E10a_T12b,0.5458572084360749,3625,213,0.1175172413793103,0.9315862068965516,0.0030344827586206,1.0,3487,0.9183363089334128,1.0395755663894466,0.0030344827586206,0.9684542586750788,0.0002758620689655,0.0002775950174709,0.25404054599303,0.016,0.0,0.9523809523809524,N8,,1.1423785595419973,E10a
N8_E10a_T12e,0.5435318280139301,3625,213,0.1175172413793103,0.9315862068965516,0.0030344827586206,1.0,3487,0.9183363089334128,1.0395755663894466,0.0030344827586206,0.9684542586750788,0.0002758620689655,0.0002775950174709,0.25404054599303,0.016,0.0,0.9523809523809524,N8,,0.9818698112698538,E10a
N8_E10b_T12a,0.5517619873272441,3625,0,0.0,1.0,0.0002758620689655,0.0,3625,,1.0,0.0002758620689655,1.0,0.0002758620689655,0.0,3.2490914173681166e-14,0.0,,,N8,,1.2640343422563636,E10b
N8_E10b_T12b,0.5474169129113579,3625,0,0.0,1.0,0.0002758620689655,0.0,3625,,1.0,0.0002758620689655,1.0,0.0002758620689655,0.0,3.2490914173681166e-14,0.0,,,N8,,1.242792181121095,E10b
N8_E10b_T12e,0.5496908332113675,3625,0,0.0,1.0,0.0002758620689655,0.0,3625,,1.0,0.0002758620689655,1.0,0.0002758620689655,0.0,3.2490914173681166e-14,0.0,,,N8,,1.1944045104390042,E10b
N8_E10c_T12a,0.5420614383079758,3625,0,0.0,1.0,0.0002758620689655,0.0,3625,,1.0,0.0002758620689655,1.0,0.0002758620689655,0.0,3.2490914173681166e-14,0.0,,,N8,,1.1124638302091527,E10c
N8_E10c_T12b,0.5486622573245702,3625,0,0.0,1.0,0.0002758620689655,0.0,3625,,1.0,0.0002758620689655,1.0,0.0002758620689655,0.0,3.2490914173681166e-14,0.0,,,N8,,1.1089223281387157,E10c
N8_E10c_T12e,0.5432800925261093,3625,0,0.0,1.0,0.0002758620689655,0.0,3625,,1.0,0.0002758620689655,1.0,0.0002758620689655,0.0,3.2490914173681166e-14,0.0,,,N8,,1.0824939993767901,E10c
N8_E11a_T12a,0.4840395583558532,3625,139716,77.08468965517241,0.4099310344827586,0.5053793103448276,10.0,1643,0.1099247671628966,2.206329884357882,0.1340689655172413,0.9044430919050518,0.0002758620689655,0.000370423337997,0.5719079961099758,0.3618346526879512,0.000120712335959,0.7401895429052731,N8,,0.8355859218796413,E11a
N8_E11a_T12b,0.49101809775541627,3625,139716,77.08468965517241,0.4099310344827586,0.5053793103448276,10.0,1643,0.1099247671628966,2.206329884357882,0.1340689655172413,0.9044430919050518,0.0002758620689655,0.000370423337997,0.5719079961099758,0.3618346526879512,0.000120712335959,0.7401895429052731,N8,,1.008638714429887,E11a
N8_E11a_T12e,0.4854589617493933,3625,139716,77.08468965517241,0.4099310344827586,0.5053793103448276,10.0,1643,0.1099247671628966,2.206329884357882,0.1340689655172413,0.9044430919050518,0.0002758620689655,0.000370423337997,0.5719079961099758,0.3618346526879512,0.000120712335959,0.7401895429052731,N8,,0.8689407961862267,E11a
N8_E11b_T12a,0.41410211168818745,3625,179975,99.29655172413791,0.0,1.0,2.0,1,0.0,3625.0,1.0,0.0,0.0002758620689655,0.0010616922407557,0.4488711246192766,0.9865774180339588,0.0002684516393208,0.5285458725225913,N8,,1.0585011818324739,E11b
N8_E11b_T12b,0.4206189653408581,3625,179975,99.29655172413791,0.0,1.0,2.0,1,0.0,3625.0,1.0,0.0,0.0002758620689655,0.0010616922407557,0.4488711246192766,0.9865774180339588,0.0002684516393208,0.5285458725225913,N8,,1.332760296284281,E11b
N8_E11b_T12e,0.4251999912494444,3625,179975,99.29655172413791,0.0,1.0,2.0,1,0.0,3625.0,1.0,0.0,0.0002758620689655,0.0010616922407557,0.4488711246192766,0.9865774180339588,0.0002684516393208,0.5285458725225913,N8,,1.2320289857029634,E11b
N8_E11c_T12a,0.5523874097055235,3625,213,0.1175172413793103,0.9315862068965516,0.0030344827586206,1.0,3487,0.9183363089334128,1.0395755663894466,0.0030344827586206,0.9684542586750788,0.0002758620689655,0.0002775950174709,0.25404054599303,0.016,0.0,0.9523809523809524,N8,,1.1826644110343094,E11c
