Node_Idx,Edge_Idx,Text_Idx,train_mean,zero_frac
N8,E10c,T12a,84.19927924995824,0.0
N8,E10b,T12b,84.15994164070703,0.0
N8,E10b,T12e,84.09470508459444,0.0
N8,E10b,T12a,84.09192610201374,0.0
N8,E10c,T12b,83.96151440123181,0.0
N8,E10c,T12e,83.91195705663272,0.0
N8,E11a,T12a,77.15167803969665,0.0
N8,E11a,T12e,77.11156244298212,0.0
N8,E11a,T12b,76.96327912207104,0.0
N8,E11b,T12b,75.65445095754838,0.0
N8,E11b,T12e,75.57351687467848,0.0
N8,E11b,T12a,75.50837688452857,0.0
N7,E11b,T12a,54.67276772742579,0.0
N7,E11a,T12a,54.39232184447354,0.0
N7,E10b,T12a,54.33494941329087,0.0
N7,E10c,T12a,54.0127083719375,0.0
N7,E11b,T12b,38.97385968700546,0.0
N7,E11a,T12b,38.84224683044495,0.0
N7,E10c,T12b,38.50200508013277,0.0
N7,E10b,T12b,38.12631047833316,0.0
