variant,raw_gnn_train_mean
N7_E10b_T12a,9.755687271397713
N7_E10b_T12b,7.971351582214677
N7_E10c_T12a,8.598122569228197
N7_E10c_T12b,8.755849832605241
N7_E11a_T12a,10.871622516415352
N7_E11a_T12b,9.996877575477864
N7_E11b_T12a,10.670575138168058
N7_E11b_T12b,10.993543599811343
N8_E10a_T12a,0.9475718705776714
N8_E10a_T12b,1.1423785595419973
N8_E10a_T12e,0.9818698112698538
N8_E10b_T12a,1.2640343422563636
N8_E10b_T12b,1.242792181121095
N8_E10b_T12e,1.1944045104390042
N8_E10c_T12a,1.1124638302091527
N8_E10c_T12b,1.1089223281387157
N8_E10c_T12e,1.0824939993767901
N8_E11a_T12a,0.8355859218796413
N8_E11a_T12b,1.008638714429887
N8_E11a_T12e,0.8689407961862267
N8_E11b_T12a,1.0585011818324739
N8_E11b_T12b,1.332760296284281
N8_E11b_T12e,1.2320289857029634
N8_E11c_T12a,1.1826644110343094
N8_E11c_T12b,1.3235488803210198
N8_E11c_T12e,1.2075038243103549
N9_E10b_T12a,9.026393566819356
N9_E10b_T12b,9.169027289613046
N9_E10b_T12e,9.038597939152725
N9_E10c_T12a,9.331545136636064
N9_E10c_T12b,8.695612754605397
N9_E10c_T12e,9.374199161974927
N9_E11a_T12a,11.189081858573296
N9_E11a_T12b,11.156850622992046
N9_E11a_T12e,10.99420113198613
N9_E11b_T12a,10.97227510157205
N9_E11b_T12b,11.08218489095088
N9_E11b_T12e,10.951700713396106
