,arxiv,amazon,history,electronics,toys
arxiv,0.4751372710087087,0.6368740509078294,0.8391463916782735,0.5577278838198655,0.6027457746032323
amazon,0.5962489480024354,0.9546054141043567,0.8391463916782735,0.9274834158461518,0.7234014945262172
history,0.12828630951608558,0.14786590116299272,0.26352313834736496,0.12127388829255129,0.14202281313316478
electronics,0.6866141471584203,0.6228572050779402,0.15676361163220498,0.6034345374213759,0.3860116463401775
toys,0.5962489480024354,0.9546054141043567,0.8391463916782735,0.9274834158461518,0.7234014945262172
