Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,train_mean,test_mean,n_train_valid,n_test_valid
M1,N7,E10b,T12a,categorical,9.755687271397713,10.582294632988924,50,50
M1,N7,E10b,T12b,categorical,7.971351582214677,10.694300971286076,50,50
M1,N7,E10c,T12a,categorical,8.598122569228197,11.071895143724138,50,50
M1,N7,E10c,T12b,categorical,8.755849832605241,10.990845029131373,50,50
M1,N7,E11a,T12a,categorical,10.871622516415352,12.139661707220021,50,50
M1,N7,E11a,T12b,categorical,9.996877575477864,12.679557584155903,50,50
M1,N7,E11b,T12a,categorical,10.670575138168058,12.938785836516622,50,50
M1,N7,E11b,T12b,categorical,10.993543599811343,12.891896096660837,50,50
M1,N8,E10a,T12a,categorical,0.9475718705776714,2.4022081901125154,50,50
M1,N8,E10a,T12b,categorical,1.1423785595419973,2.894271825448247,50,50
M1,N8,E10a,T12e,categorical,0.9818698112698538,2.499478018975301,50,50
M1,N8,E10b,T12a,categorical,1.2640343422563636,2.1619543110176798,50,50
M1,N8,E10b,T12b,categorical,1.242792181121095,2.4874636347990067,50,50
M1,N8,E10b,T12e,categorical,1.1944045104390042,2.5166503946587535,50,50
M1,N8,E10c,T12a,categorical,1.1124638302091527,2.510183917771429,50,50
M1,N8,E10c,T12b,categorical,1.1089223281387157,2.168408801964026,50,50
M1,N8,E10c,T12e,categorical,1.0824939993767901,2.5142819390758944,50,50
M1,N8,E11a,T12a,categorical,0.8355859218796413,1.3806345966003184,50,50
M1,N8,E11a,T12b,categorical,1.008638714429887,1.5349829040359537,50,50
M1,N8,E11a,T12e,categorical,0.8689407961862267,1.4737648344368206,50,50
M1,N8,E11b,T12a,categorical,1.0585011818324739,1.7867491240962332,50,50
M1,N8,E11b,T12b,categorical,1.332760296284281,1.8787284243543616,50,50
M1,N8,E11b,T12e,categorical,1.2320289857029634,1.8992660052949053,50,50
M1,N8,E11c,T12a,categorical,1.1826644110343094,2.821962752762038,50,50
M1,N8,E11c,T12b,categorical,1.3235488803210198,2.446295284194777,50,50
M1,N8,E11c,T12e,categorical,1.2075038243103549,2.444056918589728,50,50
M1,N9,E10b,T12a,categorical,9.026393566819356,10.779131132999522,50,50
M1,N9,E10b,T12b,categorical,9.169027289613046,10.364766980158127,50,50
M1,N9,E10b,T12e,categorical,9.038597939152725,10.753004442982213,50,50
M1,N9,E10c,T12a,categorical,9.331545136636064,10.95403603173097,50,50
M1,N9,E10c,T12b,categorical,8.695612754605397,11.145445073762245,50,50
M1,N9,E10c,T12e,categorical,9.374199161974927,11.341226602640258,50,50
M1,N9,E11a,T12a,categorical,11.189081858573296,12.018291597508178,50,50
M1,N9,E11a,T12b,categorical,11.156850622992046,12.290668986467493,50,50
M1,N9,E11a,T12e,categorical,10.99420113198613,12.784388795384501,50,50
M1,N9,E11b,T12a,categorical,10.97227510157205,12.321091537600608,50,50
M1,N9,E11b,T12b,categorical,11.08218489095088,12.80177300776137,50,50
M1,N9,E11b,T12e,categorical,10.951700713396106,12.19683712816868,50,50
