system_name,system_type,band,train_mean,mean_composite,std_composite,cv,permutation_p_text,permutation_p_community,cross_system_rho
quintile_1_N8_E10c_T12a_community_based,community_based,quintile_1,84.2,0.6439124183634684,0.26549754434973694,0.4123193415410602,0.008333333333333333,0.041666666666666664,0.8999999999999998
quintile_1_N8_E10c_T12a_text_based,text_based,quintile_1,84.2,0.6408164639748952,0.2554574382306385,0.3986436875327322,0.008333333333333333,0.041666666666666664,0.8999999999999998
quintile_2_N8_E10c_T12b_community_based,community_based,quintile_2,83.96,0.6495881046679047,0.26572016127743203,0.4090594630166123,0.008333333333333333,0.041666666666666664,0.8999999999999998
quintile_2_N8_E10c_T12b_text_based,text_based,quintile_2,83.96,0.6358194961215108,0.2602473826872544,0.40931016471618037,0.008333333333333333,0.041666666666666664,0.8999999999999998
quintile_3_N8_E11a_T12b_community_based,community_based,quintile_3,76.96,0.6232321541441447,0.25677763939790815,0.4120096142191649,0.008333333333333333,0.041666666666666664,0.8999999999999998
quintile_3_N8_E11a_T12b_text_based,text_based,quintile_3,76.96,0.6150859496074298,0.25941612003486275,0.42175588663735786,0.008333333333333333,0.041666666666666664,0.8999999999999998
quintile_4_N7_E11b_T12a_community_based,community_based,quintile_4,54.67,0.3173008591518846,0.12973432001334348,0.408868480092084,0.008333333333333333,0.041666666666666664,0.8999999999999998
quintile_4_N7_E11b_T12a_text_based,text_based,quintile_4,54.67,0.3537299437125627,0.14054183638831427,0.39731393648290375,0.008333333333333333,0.041666666666666664,0.8999999999999998
quintile_5_N7_E11b_T12b_community_based,community_based,quintile_5,38.97,0.31156448856077174,0.13549141018252117,0.4348743684121533,0.008333333333333333,0.041666666666666664,0.8999999999999998
quintile_5_N7_E11b_T12b_text_based,text_based,quintile_5,38.97,0.34849938577701084,0.14927374669839286,0.4283328831859303,0.008333333333333333,0.041666666666666664,0.8999999999999998
