system_name,node_idx,edge_idx,text_idx,train_mean,mean_composite,train_mean_M3
N7_E10b_T12a_text_based,N7,E10b,T12a,40.642559090185735,0.3753336453480394,55.1769275009184
N7_E10b_T12b_text_based,N7,E10b,T12b,38.62094930296403,0.3986645011737441,54.712900971482334
N7_E10c_T12a_text_based,N7,E10c,T12a,34.49306869353784,0.5364508098157519,1.399294502172477
N7_E10c_T12b_text_based,N7,E10c,T12b,33.12945086708754,0.5524178154217616,2.5809098718569894
