Node_Idx,Edge_Idx,Text_Idx,train_mean,zero_frac
N7,E11b,T12a,43.60886769821098,0.0
N7,E11a,T12a,42.21113851599443,0.0
N7,E11b,T12b,42.0452790818953,0.0
N9,E11b,T12b,41.000321522170964,0.0
N9,E11b,T12e,40.75325144272881,0.0
N7,E10b,T12a,40.741741053324944,0.0
N9,E11b,T12a,40.71352065804886,0.0
N7,E11a,T12b,40.25564484096888,0.0
N7,E10c,T12a,40.157834003504135,0.0
N9,E11a,T12e,39.11967020823825,0.0
N9,E11a,T12b,39.01343692076899,0.0
N9,E11a,T12a,38.942738575737515,0.0
N7,E10c,T12b,38.87946260530057,0.0
N7,E10b,T12b,38.73679168525954,0.0
N9,E10c,T12b,37.86364757878168,0.0
N9,E10b,T12b,37.731997144390604,0.0
N9,E10c,T12e,37.59329273303808,0.0
N9,E10b,T12e,37.561205183828946,0.0
N9,E10c,T12a,37.527844614578,0.0
N9,E10b,T12a,37.440802277198756,0.0
N8,E11c,T12a,13.064048602598891,0.0
N8,E10a,T12b,12.974050146791644,0.0
N8,E10c,T12b,12.957363664580111,0.0
N8,E10b,T12a,12.895009856746206,0.0
N8,E10a,T12e,12.858646545441623,0.0
N8,E10b,T12e,12.847101728676298,0.0
N8,E10c,T12e,12.812622245721329,0.0
N8,E10c,T12a,12.70042193257434,0.0
N8,E11c,T12e,12.671950387840248,0.0
N8,E11b,T12b,12.628038989470138,0.0
N8,E10a,T12a,12.626701844237498,0.0
N8,E10b,T12b,12.606389150791,0.0
N8,E11b,T12a,12.531866460868557,0.0
N8,E11c,T12b,12.45628060347745,0.0
N8,E11b,T12e,12.300183235724267,0.0
N8,E11a,T12a,12.289800319809192,0.0
N8,E11a,T12b,12.189588081267972,0.0
N8,E11a,T12e,12.098101983499042,0.0
