dataset,scale,subtype,metric,n,n_full,mean_rho,std_rho,n_seeds
arxiv,B,edge_multihop,answer_relevance,5,34,0.7187161505985838,0.2171243597807115,20
arxiv,B,edge_multihop,answer_relevance,10,34,0.8116247344533474,0.11291136815831429,20
arxiv,B,edge_multihop,answer_relevance,15,34,0.8793516978189253,0.18091821278703965,20
arxiv,B,edge_multihop,answer_relevance,20,34,0.9419710217989016,0.042255054792374486,20
arxiv,B,edge_multihop,answer_relevance,30,34,0.9822414968980222,0.02074111460774504,20
arxiv,B,edge_multihop,answer_relevance,34,34,1.0,0.0,20
arxiv,B,edge_multihop,context_relevance,3,34,-0.0950381926622983,0.0,3
arxiv,B,edge_multihop,context_relevance,5,34,0.2289690798872218,0.46368714471124256,6
arxiv,B,edge_multihop,context_relevance,10,34,0.5123378390219002,0.46929393911130424,11
arxiv,B,edge_multihop,context_relevance,15,34,0.5124754433680518,0.4805224590002432,16
arxiv,B,edge_multihop,context_relevance,20,34,0.5939818107746546,0.4949149389833465,18
arxiv,B,edge_multihop,context_relevance,30,34,0.8357442711006552,0.3910068439709359,20
arxiv,B,edge_multihop,context_relevance,34,34,1.0,0.0,20
arxiv,B,edge_multihop,composite,3,34,0.3107874288492978,0.33971879034457203,20
arxiv,B,edge_multihop,composite,5,34,0.3408336559167099,0.2991718521207852,20
arxiv,B,edge_multihop,composite,10,34,0.4639602500351983,0.2966308606918631,20
arxiv,B,edge_multihop,composite,15,34,0.5507936413510781,0.28159117258954613,20
arxiv,B,edge_multihop,composite,20,34,0.6379411764705882,0.2278584290032301,20
arxiv,B,edge_multihop,composite,30,34,0.8863235294117647,0.11417401200492623,20
arxiv,B,edge_multihop,composite,34,34,1.0,0.0,20
arxiv,B,all_combined,faithfulness,3,102,0.42172661985230775,0.3135634185447695,20
arxiv,B,all_combined,faithfulness,5,102,0.4983379239209843,0.31251412775636483,20
arxiv,B,all_combined,faithfulness,10,102,0.6108441423894999,0.20657188522552253,20
arxiv,B,all_combined,faithfulness,15,102,0.6497374619086773,0.2146377693130286,20
arxiv,B,all_combined,faithfulness,20,102,0.7600831919913565,0.09568939726836491,20
arxiv,B,all_combined,faithfulness,30,102,0.843235294117647,0.06392645536475278,20
arxiv,B,all_combined,faithfulness,40,102,0.8959912262707801,0.047602589951667516,20
arxiv,B,all_combined,faithfulness,50,102,0.9176470588235294,0.03903019858243209,20
arxiv,B,all_combined,faithfulness,75,102,0.9647058823529411,0.019308997131964538,20
arxiv,B,all_combined,faithfulness,100,102,0.9960294117647057,0.0031230530267052263,20
arxiv,B,all_combined,faithfulness,102,102,1.0,0.0,20
arxiv,B,all_combined,answer_relevance,3,102,0.1099668834219188,0.5276547398430134,20
arxiv,B,all_combined,answer_relevance,5,102,0.2807984526052585,0.48224333380129086,20
arxiv,B,all_combined,answer_relevance,10,102,0.5184287968222827,0.4228292380175515,20
arxiv,B,all_combined,answer_relevance,15,102,0.6078288661849648,0.37276707906212037,20
arxiv,B,all_combined,answer_relevance,20,102,0.7657352941176472,0.19258817016420618,20
arxiv,B,all_combined,answer_relevance,30,102,0.8258823529411765,0.09399164359528961,20
arxiv,B,all_combined,answer_relevance,40,102,0.8966176470588236,0.07993982923160302,20
arxiv,B,all_combined,answer_relevance,50,102,0.9002941176470587,0.08451930022620067,20
arxiv,B,all_combined,answer_relevance,75,102,0.9597058823529411,0.03775833737762416,20
arxiv,B,all_combined,answer_relevance,100,102,0.9967647058823527,0.004641098187664558,20
arxiv,B,all_combined,answer_relevance,102,102,1.0,0.0,20
arxiv,B,all_combined,context_relevance,3,102,0.43550634534617916,0.3138904044971057,9
arxiv,B,all_combined,context_relevance,5,102,0.5563053772132088,0.33052723509221543,13
arxiv,B,all_combined,context_relevance,10,102,0.7140827937491908,0.1872133068382062,19
arxiv,B,all_combined,context_relevance,15,102,0.716866948706485,0.17289343901302645,19
arxiv,B,all_combined,context_relevance,20,102,0.7906170374513397,0.17017543654922523,20
arxiv,B,all_combined,context_relevance,30,102,0.8058528927810519,0.19364445556867768,20
arxiv,B,all_combined,context_relevance,40,102,0.8536169194404751,0.15694197786175698,20
arxiv,B,all_combined,context_relevance,50,102,0.889193254303869,0.13868997820131154,20
arxiv,B,all_combined,context_relevance,75,102,0.9580159026719149,0.04582673572064328,20
arxiv,B,all_combined,context_relevance,100,102,0.9964579864653123,0.004545984580028839,20
arxiv,B,all_combined,context_relevance,102,102,1.0,0.0,20
arxiv,B,all_combined,composite,3,102,0.248489457431812,0.40624108392811875,20
arxiv,B,all_combined,composite,5,102,0.29018872722774086,0.38927349895517344,20
arxiv,B,all_combined,composite,10,102,0.4039493981321821,0.3097958430572657,20
arxiv,B,all_combined,composite,15,102,0.4908823529411765,0.27880258670417885,20
arxiv,B,all_combined,composite,20,102,0.5610294117647059,0.26201718656485745,20
arxiv,B,all_combined,composite,30,102,0.6542647058823529,0.28867834346580135,20
arxiv,B,all_combined,composite,40,102,0.6847058823529413,0.2455461394003059,20
arxiv,B,all_combined,composite,50,102,0.7617647058823529,0.19429581841074992,20
arxiv,B,all_combined,composite,75,102,0.9148529411764705,0.0985073504713522,20
arxiv,B,all_combined,composite,100,102,0.9860294117647058,0.010801568193208124,20
arxiv,B,all_combined,composite,102,102,1.0,0.0,20
arxiv,C,single_specific,faithfulness,3,35,0.147076247296082,0.18550342745129464,20
arxiv,C,single_specific,faithfulness,5,35,0.21578329322128523,0.18375576226408186,20
arxiv,C,single_specific,faithfulness,10,35,0.3495496147755304,0.22703197868638186,20
arxiv,C,single_specific,faithfulness,15,35,0.4345497794833221,0.1264438942269183,20
arxiv,C,single_specific,faithfulness,20,35,0.4639395410845533,0.18572355970660556,20
arxiv,C,single_specific,faithfulness,30,35,0.7655021463642514,0.17723397024232448,20
arxiv,C,single_specific,faithfulness,35,35,1.0,0.0,20
arxiv,C,single_specific,answer_relevance,3,35,0.5140438079474461,0.31843823842735225,20
arxiv,C,single_specific,answer_relevance,5,35,0.6735478177297578,0.2304829496222399,20
arxiv,C,single_specific,answer_relevance,10,35,0.7871558975112529,0.14981304889254252,20
arxiv,C,single_specific,answer_relevance,15,35,0.8197058823529411,0.15010982138923706,20
arxiv,C,single_specific,answer_relevance,20,35,0.822205882352941,0.18006744939655234,20
arxiv,C,single_specific,answer_relevance,30,35,0.9602941176470587,0.04286960191284835,20
arxiv,C,single_specific,answer_relevance,35,35,1.0,0.0,20
arxiv,C,single_specific,context_relevance,3,35,0.7792540189635386,0.1509346043406109,20
arxiv,C,single_specific,context_relevance,5,35,0.8405750558318434,0.10347458704972978,20
arxiv,C,single_specific,context_relevance,10,35,0.9231413901564869,0.0766073946226594,20
arxiv,C,single_specific,context_relevance,15,35,0.9499611000873311,0.04767805892539022,20
arxiv,C,single_specific,context_relevance,20,35,0.9706860130784616,0.030097045366078056,20
arxiv,C,single_specific,context_relevance,30,35,0.9818943764134482,0.02799999442047224,20
arxiv,C,single_specific,context_relevance,35,35,1.0,0.0,20
arxiv,C,single_specific,composite,3,35,0.6447107004866143,0.25985373379536536,20
arxiv,C,single_specific,composite,5,35,0.7913156812416529,0.1672948214976546,20
arxiv,C,single_specific,composite,10,35,0.8755882352941177,0.07945587010484276,20
arxiv,C,single_specific,composite,15,35,0.8969117647058822,0.07393110863181623,20
arxiv,C,single_specific,composite,20,35,0.9349999999999999,0.0580306863102033,20
arxiv,C,single_specific,composite,30,35,0.9897058823529413,0.009908753251719419,20
arxiv,C,single_specific,composite,35,35,1.0,0.0,20
arxiv,C,aggregate_cross_paper,faithfulness,3,33,0.2996893363442831,0.3499630856198302,20
arxiv,C,aggregate_cross_paper,faithfulness,5,33,0.28179429036704173,0.3522271470303494,20
arxiv,C,aggregate_cross_paper,faithfulness,10,33,0.4848663642876866,0.21143673599135163,20
arxiv,C,aggregate_cross_paper,faithfulness,15,33,0.5679411764705883,0.196445269590888,20
arxiv,C,aggregate_cross_paper,faithfulness,20,33,0.6954411764705881,0.1470866885365113,20
arxiv,C,aggregate_cross_paper,faithfulness,30,33,0.9377941176470588,0.04137844373023631,20
arxiv,C,aggregate_cross_paper,faithfulness,33,33,1.0,0.0,20
arxiv,C,aggregate_cross_paper,answer_relevance,3,33,0.47172420390046516,0.279887015661886,20
arxiv,C,aggregate_cross_paper,answer_relevance,5,33,0.5370097135379167,0.27378135216799276,20
arxiv,C,aggregate_cross_paper,answer_relevance,10,33,0.7177941176470588,0.16809145177304394,20
arxiv,C,aggregate_cross_paper,answer_relevance,15,33,0.8352941176470587,0.1344217398795639,20
