n_subsets,rho,p,note
10,0.5455447255899809,0.16193822846628414,
20,0.5455447255899809,0.16193822846628414,
30,0.5455447255899809,0.16193822846628414,
40,0.5455447255899809,0.16193822846628414,
50,0.5455447255899809,0.16193822846628414,
75,0.5455447255899809,0.16193822846628414,
100,,,insufficient train subsets (75 available)
150,,,insufficient train subsets (75 available)
