n_subsets,rho,p,note
10,0.5363615206476302,0.021750677496304778,
20,0.6303850541476131,0.005039805545721676,
30,0.5363615206476302,0.021750677496304778,
40,0.5363615206476302,0.021750677496304778,
50,0.5363615206476302,0.021750677496304778,
75,0.5363615206476302,0.021750677496304778,
100,,,insufficient train subsets (75 available)
150,,,insufficient train subsets (75 available)
