n_subsets,mean_rho,std_rho,n_seeds_valid,note
5,0.7736750641423737,0.07957913907398857,20,
10,0.8516953789224824,0.039617512194589616,20,
15,0.8273777290232758,0.06652667542646078,20,
20,0.8326775618280717,0.05811675446712189,20,
30,0.8421698175200257,0.0455242922832055,20,
40,0.8501749943874348,0.03239627569109466,20,
50,0.8576559049070227,0.03184304791814138,20,
75,0.8537900259746163,0.0,20,std=0 by construction (subsample == full train split)
