n_subsets,rho,p,note
10,0.8503319861772302,3.802530428234625e-08,
20,0.8066633260157313,6.461613604318784e-07,
30,0.8537900259746163,2.9267942340084472e-08,
40,0.8537900259746163,2.9267942340084472e-08,
50,0.9015109751785437,3.299187893448735e-10,
75,0.8537900259746163,2.9267942340084472e-08,
100,,,insufficient train subsets (75 available)
150,,,insufficient train subsets (75 available)
