n_subsets,mean_rho,std_rho
5,0.8465285097251465,0.06941822917080501
10,0.8383084687967166,0.06291070898617182
15,0.8534927055284198,0.02735734266168049
20,0.8575905523622769,0.022966461825960217
30,0.8459045329366515,0.020424233027439145
40,0.8551967476747571,0.01445689947519647
50,0.8536695774157026,0.009670584050366578
75,0.8558881615525744,0.0
