dataset,n_gnn,mean_gnn_s,total_gnn_s,base_gnn_s,speedup_gnn,n_gra,mean_gra_s,total_gra_s,base_gra_s,speedup_gra
arxiv,24,623.1,14955.1,187.127,0.300302104298868,16,635.4761716127396,10167.618745803833,384.54491996765137,0.6051287792455479
amazon,39,443.0,17276.0,193.848,0.43760546422783053,26,469.0158818134895,12194.412927150726,443.8211190700531,0.9462816426471131
history,12,376.9,4523.0,60.045,0.15930577050630113,8,377.893412232399,3023.147297859192,376.1677050590515,0.9954333494115367
electronics,39,433.0,16885.5,81.347,0.18788504930265612,26,385.3266619168795,10018.493209838867,409.6762220859528,1.063191994158779
toys,39,446.3,17407.0,62.665,0.14039955190440628,26,383.8396342534285,9979.830490589142,372.3161458969116,0.9699783781345817
