,history,amazon,arxiv,electronics,toys
history,0.3977,-0.0812,-0.0553,-0.1169,0.0148
amazon,0.2051,0.5542,-0.2409,0.1399,0.4311
arxiv,-0.182,-0.2102,0.9106,0.3002,-0.4028
electronics,0.2516,0.2449,0.5578,0.6665,0.122
toys,0.3157,-0.0152,-0.3709,0.0084,0.4565
