Task_Idx,Node_Idx,Edge_Idx,Text_Idx,KL,Top1,Top3,Cosine,Performance_Band
1,7,10,a,0.8741379976272583,0.8096666666666666,0.9393333333333334,0.8273850679397583,Good
1,7,10,b,0.8782582879066467,0.8103333333333333,0.9396666666666667,0.8264890909194946,Good
1,7,11,a,0.8623645901679993,0.792,0.941,0.8122954368591309,Fair
1,7,11,a,0.8287549614906311,0.7926666666666666,0.9393333333333334,0.8145036697387695,Fair
1,7,11,b,0.8841940760612488,0.7896666666666666,0.939,0.8106293678283691,Fair
1,7,11,b,0.8270751237869263,0.7893333333333333,0.9416666666666667,0.8128926753997803,Fair
1,8,10,a,0.23385216295719147,0.9474824038982134,0.9832160259880888,0.9530277848243713,Excellent
1,8,10,b,0.22532042860984802,0.947347049269085,0.9852463454250135,0.95249342918396,Excellent
1,8,11,a,0.22837606072425842,0.9474824038982134,0.9844342176502436,0.9524689316749573,Excellent
1,8,11,a,0.2566490173339844,0.9384136437466162,0.9806442880346508,0.9451345801353455,Excellent
1,8,11,b,0.23339977860450745,0.9465349214943151,0.9836220898754737,0.9521671533584595,Excellent
1,8,11,b,0.2417006492614746,0.939225771521386,0.9834867352463454,0.9458824992179871,Excellent
