dataset,Node_Idx,Edge_Idx,Text_Idx,train_mean,test_mean,tree_pred,full_score,status,n_nodes,n_edges,isolated_frac,seconds,rank_subset,rank_full
toys,N7,E11a,T12a,10.91589176496408,12.138840228173926,10.806144415169404,54.169547595390654,ok,15921,21564,0.4661139249801636,22.878430366516113,1.0,2.0
toys,N7,E11a,T12b,10.696397065374729,12.378798007441763,10.806144415169404,55.549251028478444,ok,15921,40793,0.3392374813556671,27.898363828659058,2.0,1.0
toys,N9,E11a,T12a,10.513832486214012,12.53312648707586,10.475231292606633,52.271345684631875,ok,13945,27555,0.4245966374874115,14.669137954711914,3.0,3.0
toys,N9,E11a,T12b,10.436630098999254,12.514608955048423,10.475231292606633,51.80116600092938,ok,13945,27555,0.4245966374874115,14.510364770889282,4.0,4.0
toys,N7,E10c,T12a,9.70275006529437,11.163441717467245,9.242013749004972,50.079450680773505,ok,15921,809437,0.087996982038021,292.6913070678711,5.0,7.0
toys,N7,E11b,T12a,8.911321978344342,10.891024469971619,9.242013749004972,49.32268360215589,ok,15921,75652,0.0,47.202614068984985,6.0,9.0
toys,N7,E10c,T12b,8.583371726978221,10.770247659294196,8.497468378429561,49.59163032062507,ok,15921,809437,0.087996982038021,292.2029309272766,7.0,8.0
toys,N7,E11b,T12b,8.404398019405606,10.599688797307415,8.497468378429561,50.179853888388195,ok,15921,75652,0.0,46.12667512893677,8.0,6.0
toys,N9,E11b,T12b,8.279821713185811,11.018360251432538,8.177305717051166,48.2275977718698,ok,13945,65788,0.0,105.50825214385986,9.0,12.0
toys,N9,E10c,T12b,8.074789720916518,11.246091740545914,8.177305717051166,49.04967537136494,ok,13945,774985,0.0704912170767784,253.26324677467343,10.0,10.0
toys,N9,E10c,T12a,8.026129545949589,10.753467640307985,7.951764335904313,50.3519276273646,ok,13945,774985,0.0704912170767784,263.9466440677643,11.0,5.0
toys,N9,E11b,T12a,7.877399125859038,10.810277404667223,7.951764335904313,48.33534381636822,ok,13945,65788,0.0,104.93333387374878,12.0,11.0
toys,N8,E11b,T12a,1.672685233388692,2.1169787603609422,1.5029774296238214,41.603792698578516,ok,8759,42814,0.0,17.061174154281616,13.0,20.0
toys,N8,E11b,T12b,1.3332696258589507,2.3127505821386705,1.5029774296238214,42.16570802615534,ok,8759,42814,0.0,19.535819053649902,14.0,18.0
toys,N8,E10a,T12b,1.2146557743360467,2.425261031689733,1.214402310871256,46.64891236494203,ok,8759,5965,0.482246845960617,13.392570972442629,15.0,14.0
toys,N8,E10c,T12b,1.2141488474064654,2.205978825626233,1.214402310871256,41.86314139563976,ok,8759,31023,0.1597214341163635,23.659516096115112,16.0,19.0
toys,N8,E10c,T12a,1.2088619410608912,2.1775603991637276,1.2020394244711903,44.82009976546321,ok,8759,31023,0.1597214341163635,19.463207244873047,17.0,16.0
toys,N8,E10a,T12a,1.1952169078814894,2.7017077644151124,1.2020394244711903,46.70040607288763,ok,8759,5965,0.482246845960617,14.23041605949402,18.0,13.0
toys,N8,E11a,T12a,0.9660649954444279,1.7549503370276074,0.8480046334291966,46.32834040258792,ok,8759,278343,0.2501427233219147,107.27356505393982,19.0,15.0
toys,N8,E11a,T12b,0.7299442714139652,1.7317988967339146,0.8480046334291966,43.68246074169843,ok,8759,278343,0.2501427233219147,50.24520015716553,20.0,17.0
