dataset,variant,edge_rule,full_n_nodes,full_n_edges,full_mean_degree,full_isolated_frac,status
electronics,N9/E11b/T12a,E11b,11745,54861,9.342018127441406,0.0,ok
electronics,N9/E11b/T12b,E11b,11745,54861,9.342018127441406,0.0,ok
toys,N7/E10c/T12a,E10c,15921,809437,101.68167877197266,0.087996982038021,ok
toys,N7/E10c/T12b,E10c,15921,809437,101.68167877197266,0.087996982038021,ok
toys,N7/E11a/T12a,E11a,15921,21564,2.7088751792907715,0.4661139249801636,ok
toys,N7/E11a/T12b,E11a,15921,40793,5.12442684173584,0.3392374813556671,ok
toys,N7/E11b/T12a,E11b,15921,75652,9.503422737121582,0.0,ok
toys,N7/E11b/T12b,E11b,15921,75652,9.503422737121582,0.0,ok
toys,N8/E10a/T12a,E10a,8759,5965,1.362027645111084,0.482246845960617,ok
toys,N8/E10a/T12b,E10a,8759,5965,1.362027645111084,0.482246845960617,ok
toys,N8/E10c/T12a,E10c,8759,31023,7.083685398101807,0.1597214341163635,ok
toys,N8/E10c/T12b,E10c,8759,31023,7.083685398101807,0.1597214341163635,ok
toys,N8/E11a/T12a,E11a,8759,278343,63.555885314941406,0.2501427233219147,ok
toys,N8/E11a/T12b,E11a,8759,278343,63.555885314941406,0.2501427233219147,ok
toys,N8/E11b/T12a,E11b,8759,42814,9.776001930236816,0.0,ok
toys,N8/E11b/T12b,E11b,8759,42814,9.776001930236816,0.0,ok
toys,N9/E10c/T12a,E10c,13945,774985,111.14879608154295,0.0704912170767784,ok
toys,N9/E10c/T12b,E10c,13945,774985,111.14879608154295,0.0704912170767784,ok
toys,N9/E11a/T12a,E11a,13945,27555,3.951954126358032,0.4245966374874115,ok
toys,N9/E11a/T12b,E11a,13945,27555,3.951954126358032,0.4245966374874115,ok
toys,N9/E11b/T12a,E11b,13945,65788,9.43535327911377,0.0,ok
toys,N9/E11b/T12b,E11b,13945,65788,9.43535327911377,0.0,ok
