dataset,Node_Idx,Edge_Idx,Text_Idx,train_mean,test_mean,tree_pred,full_score,status,n_nodes,n_edges,isolated_frac,seconds,rank_subset,rank_full
amazon,N7,E11b,T12a,42.28237787966021,42.10757698371494,41.28288151131253,68.82823584711171,ok,40146,197755,0.0,88.72922110557556,1.0,7.0
amazon,N7,E11a,T12a,42.23252913749224,41.62436641882735,41.28288151131253,72.06291371710358,ok,40146,76387,0.4967867136001587,50.4460129737854,2.0,2.0
amazon,N7,E11b,T12b,40.700001678568746,39.68379991481352,39.517578920269166,68.15999463420786,ok,40146,197755,0.0,80.98405694961548,3.0,8.0
amazon,N7,E10c,T12a,40.26189307332523,40.07672805992704,41.28288151131253,69.00297633171006,ok,40146,871877,0.0954017862677574,318.60614013671875,4.0,5.0
amazon,N9,E11b,T12a,40.02230250228783,39.29513975112298,39.79168325359555,66.1320711154728,ok,35540,174518,0.0,313.76434898376465,5.0,12.0
amazon,N9,E11b,T12b,39.561064004903265,39.013091526692435,39.79168325359555,66.60371989311649,ok,35540,174518,0.0,272.3483247756958,6.0,11.0
amazon,N7,E11a,T12b,39.52433255024975,39.01133000538579,39.517578920269166,72.19344316638878,ok,40146,161225,0.3502964079380035,63.17363595962525,7.0,1.0
amazon,N9,E11a,T12b,39.31130841423921,38.46699446789342,39.288493898515995,69.8738227209229,ok,35540,98556,0.4143781661987304,64.99093890190125,8.0,4.0
amazon,N9,E11a,T12a,39.26567938279278,38.69498300936701,39.288493898515995,70.05610382587535,ok,35540,98556,0.4143781661987304,64.38831686973572,9.0,3.0
amazon,N7,E10c,T12b,39.005617014725345,37.997212377533685,39.517578920269166,68.87586165531947,ok,40146,871877,0.0954017862677574,243.4469301700592,10.0,6.0
amazon,N9,E10c,T12a,38.32195778995719,37.795870545807766,38.23558584727493,67.52073886032098,ok,35540,851899,0.0871975272893905,183.1690170764923,11.0,9.0
amazon,N9,E10c,T12b,38.010029784417085,37.75391722477883,38.123656475487934,67.5150308405532,ok,35540,851899,0.0871975272893905,205.7748258113861,12.0,10.0
amazon,N8,E10a,T12b,13.016673874346354,10.538766577931417,12.986224225352792,52.81698220422029,ok,13319,7260,0.7033560872077942,5.9980809688568115,13.0,14.0
amazon,N8,E11b,T12b,13.007841210742402,9.923732759525333,12.986224225352792,50.44984532502346,ok,13319,65676,0.0,24.485175132751465,14.0,18.0
amazon,N8,E10c,T12b,12.934157590969624,10.253249987140723,12.986224225352792,50.44292092637477,ok,13319,29813,0.4495082199573517,12.372277736663818,15.0,19.0
amazon,N8,E10a,T12a,12.918673959365389,10.493880338551074,12.912825829970041,53.121753483288295,ok,13319,7260,0.7033560872077942,8.63924503326416,16.0,13.0
amazon,N8,E10c,T12a,12.918493833963065,10.260649811344425,12.912825829970041,49.92600441748064,ok,13319,29813,0.4495082199573517,12.300097942352297,17.0,20.0
amazon,N8,E11b,T12a,12.90130969658167,10.448007662596783,12.912825829970041,50.59207743537717,ok,13319,65676,0.0,29.1050329208374,18.0,17.0
amazon,N8,E11a,T12a,12.21955732375801,9.954278491283866,12.14769729982904,52.220724567270196,ok,13319,115836,0.4447030425071716,34.70716094970703,19.0,15.0
amazon,N8,E11a,T12b,12.075837275900072,10.076862990160883,12.14769729982904,51.75234275487613,ok,13319,115836,0.4447030425071716,41.14608192443848,20.0,16.0
