Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M1,N7,E10b,T12a,categorical,0.9661335945129395,0.7526501766784452,0.9187279151943463,0.7720887064933777,0.7526501766784452,,,,0.4655045280012543,final_score,0.0,,0.4655045280012543,0.5685026114204259,0.0,0.4655045280012543,-0.23869920454959448,graph_lift,0.0,942,81.856,7.267783572427003,1.9398877074557266,11,train,False,,,,0,370.028
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11757725477218628,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,942,81.856,7.267783572427003,,11,train,False,,,,0,370.028
M1,N7,E10b,T12a,categorical,0.8912365436553955,0.7132616487455197,0.931899641577061,0.761407732963562,0.7132616487455197,,,,0.5530687851293661,final_score,0.0,,0.5530687851293661,0.6040013537507618,0.0,0.5530687851293661,-0.12861803721757978,graph_lift,0.0,928,90.066,7.273790040038103,1.9789384960686383,11,train,False,,,,1,370.028
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.15400876104831696,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,928,90.066,7.273790040038103,,11,train,False,,,,1,370.028
M1,N7,E10b,T12a,categorical,0.9289450645446777,0.7385159010600707,0.8939929328621908,0.7677596211433411,0.7385159010600707,,,,0.5258450097523354,final_score,0.0,,0.5258450097523354,0.5876217445704954,0.0,0.5258450097523354,-0.14980599487191118,graph_lift,0.0,941,85.483,7.279968831883709,1.9092726165157483,11,train,False,,,,2,370.028
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.07334493100643158,final_score,0.11553866330498781,,0.11553866330498781,0.0,0.11553866330498781,0.11553866330498781,0.11553866330498781,graph_lift,11.553866330498781,941,85.483,7.279968831883709,,11,train,False,,,,2,370.028
M1,N7,E10b,T12a,categorical,0.9034518003463745,0.7661870503597122,0.9316546762589928,0.7731803059577942,0.7661870503597122,,,,0.5364937744847365,final_score,0.0,,0.5364937744847365,0.6184460598018919,0.0,0.5364937744847365,-0.2147855825433351,graph_lift,0.0,926,82.432,7.258965695505445,1.9428333552567538,11,train,False,,,,3,370.028
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.07707297801971436,final_score,0.12563291823994635,,0.12563291823994635,0.0,0.12563291823994635,0.12563291823994635,0.12563291823994635,graph_lift,12.563291823994636,926,82.432,7.258965695505445,,11,train,False,,,,3,370.028
M1,N7,E10b,T12a,categorical,0.981304407119751,0.7411347517730497,0.9078014184397163,0.7648406624794006,0.7411347517730497,,,,0.4883259458485857,final_score,0.0,,0.4883259458485857,0.5357280983535366,0.0,0.4883259458485857,-0.10209998136188528,graph_lift,0.0,940,89.265,7.304572333494657,1.9428805738390156,11,train,False,,,,4,370.028
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08279553055763245,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,940,89.265,7.304572333494657,,11,train,False,,,,4,370.028
