Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M1,N7,E10b,T12a,categorical,1.9907023906707764,0.543918918918919,0.6891891891891891,0.569033145904541,0.543918918918919,,,,0.3807190666087129,final_score,0.0,,0.3807190666087129,0.4264454279026971,0.0,0.3807190666087129,-0.07972451710528217,graph_lift,0.0,985,66.37,7.295705287832417,3.257308847405288,47,train,False,,,,10,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.16861547529697418,final_score,0.0,,0.0,0.09330599596701021,0.0,0.0,-0.10290792213468228,graph_lift,0.0,985,66.37,7.295705287832417,,47,train,False,,,,10,386.703
M1,N7,E10b,T12a,categorical,2.067943572998047,0.5250836120401338,0.6989966555183946,0.5749420523643494,0.5250836120401338,,,,0.35951799824934694,final_score,0.0,,0.35951799824934694,0.39442579181644,0.0,0.35951799824934694,-0.0576441220503762,graph_lift,0.0,994,70.931,7.283467574092641,3.2800252005292236,47,train,False,,,,11,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.16869138181209564,final_score,0.0,,0.07086559047914984,0.10110847544041335,0.0,0.07086559047914984,-0.033644643580415405,graph_lift,0.0,994,70.931,7.283467574092641,,47,train,False,,,,11,386.703
M1,N7,E10b,T12a,categorical,1.9529188871383667,0.531986531986532,0.7239057239057239,0.5843595266342163,0.531986531986532,,,,0.3922069042707984,final_score,0.0,,0.3922069042707984,0.41850779488655443,0.0,0.3922069042707984,-0.045229996867498644,graph_lift,0.0,989,67.395,7.305941711264973,3.2794522304742943,47,train,False,,,,12,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14436198770999908,final_score,0.053009636498423496,,0.05578930779330101,0.0029352688285015313,0.053009636498423496,0.05578930779330101,0.053009636498423496,graph_lift,5.30096364984235,989,67.395,7.305941711264973,,47,train,False,,,,12,386.703
M1,N7,E10b,T12a,categorical,1.9079504013061523,0.5723905723905723,0.734006734006734,0.6059793829917908,0.5723905723905723,,,,0.3924508425656589,final_score,0.0,,0.3924508425656589,0.48710389735573945,0.0,0.3924508425656589,-0.18454625469386918,graph_lift,0.0,989,70.873,7.293641907238108,3.2451740340183672,47,train,False,,,,13,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.19160443544387817,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,989,70.873,7.293641907238108,,47,train,False,,,,13,386.703
M1,N7,E10b,T12a,categorical,1.9599285125732422,0.5488215488215489,0.6936026936026936,0.5896149277687073,0.5488215488215489,,,,0.3748927687885337,final_score,0.0,,0.3748927687885337,0.43034185782137635,0.0,0.3748927687885337,-0.09733748177596635,graph_lift,0.0,989,71.341,7.305902455955991,3.2497482123650405,47,train,False,,,,14,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1572808027267456,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,989,71.341,7.305902455955991,,47,train,False,,,,14,386.703
