Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.13179512321949005,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,972,72.71,7.148974084480914,,16,train,False,,,,10,384.063
M1,N7,E10b,T12a,categorical,1.7071654796600342,0.5017064846416383,0.8430034129692833,0.554126501083374,0.5017064846416383,,,,0.10006425078163916,final_score,0.0,,0.10006425078163916,0.11434684484847313,0.0,0.10006425078163916,-0.016126622463610314,graph_lift,0.0,975,69.551,7.146988355808781,1.9569658076478904,16,train,False,,,,11,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.22314375638961792,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,975,69.551,7.146988355808781,,16,train,False,,,,11,384.063
M1,N7,E10b,T12a,categorical,1.674879550933838,0.5445205479452054,0.7945205479452054,0.5897015929222107,0.5445205479452054,,,,0.11580652753883036,final_score,0.0,,0.11580652753883036,0.17022585735010476,0.0,0.11580652753883036,-0.06558330395483947,graph_lift,0.0,972,72.17,7.170180546453228,1.9364269995905206,16,train,False,,,,12,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.13036465644836426,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,972,72.17,7.170180546453228,,16,train,False,,,,12,384.063
M1,N7,E10b,T12a,categorical,1.5267235040664673,0.6020761245674741,0.8373702422145328,0.6217774152755737,0.6020761245674741,,,,0.1695505899879195,final_score,0.0,,0.1695505899879195,0.1916192490594978,0.0,0.1695505899879195,-0.027299832468676098,graph_lift,0.0,962,73.219,7.147406799252259,1.9692890501346756,16,train,False,,,,13,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.24223722517490387,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,962,73.219,7.147406799252259,,16,train,False,,,,13,384.063
M1,N7,E10b,T12a,categorical,1.7156394720077515,0.547945205479452,0.821917808219178,0.5949464440345764,0.547945205479452,,,,0.06649871351036463,final_score,0.0,,0.06649871351036463,0.08756318288783971,0.0,0.06649871351036463,-0.02308594850889906,graph_lift,0.0,973,74.209,7.14885901178079,1.9486201228976932,16,train,False,,,,14,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.2120063304901123,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,973,74.209,7.14885901178079,,16,train,False,,,,14,384.063
M1,N7,E10b,T12a,categorical,1.7147928476333618,0.5171232876712328,0.8116438356164384,0.5741127729415894,0.5171232876712328,,,,0.14790020121042002,final_score,0.0,,0.14790020121042002,0.169660570111424,0.0,0.14790020121042002,-0.026206594698175434,graph_lift,0.0,973,75.045,7.126822337872832,2.0273952999157028,16,train,False,,,,15,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1258557140827179,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,973,75.045,7.126822337872832,,16,train,False,,,,15,384.063
M1,N7,E10b,T12a,categorical,1.8150280714035034,0.46779661016949153,0.7728813559322034,0.5344903469085693,0.46779661016949153,,,,0.027238207096821565,final_score,0.0,,0.027238207096821565,0.11697573500988778,0.0,0.027238207096821565,-0.10162521175346305,graph_lift,0.0,982,72.276,7.158713575407773,1.9449779725794403,16,train,False,,,,16,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.21753741800785065,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,982,72.276,7.158713575407773,,16,train,False,,,,16,384.063
M1,N7,E10b,T12a,categorical,1.7583917379379272,0.4965753424657534,0.7876712328767124,0.5541814565658569,0.4965753424657534,,,,0.0947556034007796,final_score,0.0,,0.0947556034007796,0.12754930415903365,0.0,0.0947556034007796,-0.03758802751213785,graph_lift,0.0,971,73.047,7.133318510751575,1.8929313910829655,16,train,False,,,,17,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.17534640431404114,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,971,73.047,7.133318510751575,,16,train,False,,,,17,384.063
M1,N7,E10b,T12a,categorical,1.9371893405914307,0.4639175257731959,0.7216494845360825,0.505868136882782,0.4639175257731959,,,,0.0027125158619712986,final_score,0.0,,0.0027125158619712986,0.07199834059377541,0.0,0.0027125158619712986,-0.07466131555856934,graph_lift,0.0,969,69.431,7.163930330032587,1.985935062333702,16,train,False,,,,18,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.24537423253059387,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,969,69.431,7.163930330032587,,16,train,False,,,,18,384.063
M1,N7,E10b,T12a,categorical,1.7700382471084595,0.5051546391752577,0.7903780068728522,0.5381582975387573,0.5051546391752577,,,,0.03136778860694389,final_score,0.01405969461525018,,0.03136778860694389,0.0175549106747791,0.01405969461525018,0.03136778860694389,0.01405969461525018,graph_lift,1.405969461525018,970,72.377,7.137546023517358,1.9006695355187913,16,train,False,,,,19,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.2505025267601013,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,970,72.377,7.137546023517358,,16,train,False,,,,19,384.063
