dataset,n_variants,rho,p,ted_within,ted_cross,train_r2,test_r2
history,12,0.9730408576407765,1.0719300402117817e-07,0.0,0.5768849206349206,0.9983689506566107,0.9987224099491062
amazon,39,0.9813680312356732,4.133229184408488e-28,0.047619047619047616,0.46312030075187965,0.999487892420309,0.9995637643500058
arxiv,24,0.9741665064136982,1.0457566232658014e-15,0.09375,0.4318030129672006,0.9999771051070084,0.9999801379974935
electronics,39,0.9794669847694704,2.4545003687901594e-27,0.14285714285714285,0.4312664501082792,0.9999770656102054,0.9999634746382333
toys,39,0.9456339104281172,1.227650579431979e-19,0.2777777777777778,0.4099621022821922,0.9993042698327017,0.9997237638298897
