dataset,method,threshold,N_variants,rho,pval,n_train_nodes,n_test_nodes,raw_ted,ted_norm,rho_minus_ted,fi_task,fi_node,fi_edge,fi_text,thresh_val,band_acc,task_below_50
electronics,unclamped,T=5th,84,0.7291,0.0,25,27,15,0.2885,0.4407,0.584,0.216,0.2,0.0,-0.0928,0.869,False
electronics,unclamped,T=10th,80,0.6916,0.0,25,23,20,0.4167,0.2749,0.646,0.212,0.115,0.028,-0.0862,0.825,False
electronics,unclamped,T=25th,67,0.3708,0.002,19,17,18,0.5,-0.1292,0.305,0.243,0.334,0.118,-0.0239,0.597,True
toys,raw_gnn,T=0,64,0.6625,0.0,19,15,22,0.6471,0.0155,0.717,0.283,0.0,0.0,0.0,0.719,False
toys,raw_gnn,T=5th,60,0.6663,0.0,19,15,22,0.6471,0.0193,0.733,0.267,0.0,0.0,0.9859,0.767,False
toys,raw_gnn,T=10th,57,0.6784,0.0,19,15,22,0.6471,0.0313,0.746,0.254,0.0,0.0,1.0904,0.719,False
toys,raw_gnn,T=25th,48,0.7854,0.0,17,15,20,0.625,0.1604,0.798,0.201,0.0,0.0,1.3087,0.958,False
toys,clamped,T=0,64,0.6949,0.0,17,13,10,0.3333,0.3616,0.898,0.094,0.001,0.006,0.0,0.812,False
toys,clamped,T=5th,60,0.7403,0.0,17,13,9,0.3,0.4403,0.896,0.096,0.001,0.006,0.2626,0.883,False
toys,clamped,T=10th,57,0.7351,0.0,17,13,9,0.3,0.4351,0.895,0.097,0.001,0.006,0.2851,0.895,False
toys,clamped,T=25th,48,0.7097,0.0,17,13,10,0.3333,0.3764,0.89,0.102,0.001,0.007,0.4856,0.917,False
toys,unclamped,T=0,19,0.0108,0.9651,11,11,16,0.7273,-0.7165,0.113,0.805,0.039,0.043,0.0,0.579,True
toys,unclamped,T=5th,66,0.4879,0.0,13,15,13,0.4643,0.0236,0.513,0.356,0.057,0.074,-0.0433,0.818,False
toys,unclamped,T=10th,63,0.4407,0.0003,13,15,8,0.2857,0.155,0.652,0.242,0.044,0.062,-0.035,0.825,False
toys,unclamped,T=25th,52,0.2521,0.0714,13,13,3,0.1154,0.1367,0.764,0.192,0.0,0.044,-0.0261,0.635,False
