n_subsets,mean_rho,std_rho,n_seeds_valid,note
5,0.8501559192322494,0.06296161639019975,20,
10,0.8749476048257522,0.06287093214053537,20,
15,0.9001372143122888,0.05536680480977732,20,
20,0.9128461516339001,0.04510027822852065,20,
30,0.9152173280081206,0.05054898812205161,20,
40,0.932170721485163,0.028288508777650465,20,
50,0.9387227209138878,0.008825830702726746,20,
75,0.9403201636092339,2.220446049250313e-16,20,std=0 by construction (subsample == full train split)
