n_subsets,mean_rho,std_rho
5,0.5596132554394326,0.303206003090919
10,0.6899108176952257,0.18365860144712548
15,0.6791604400209199,0.1759721298930404
20,0.6685205298433765,0.20634821938077438
30,0.780625990713457,0.10856038678925471
40,0.8054403015256479,0.09539433549774433
50,0.8360739763233799,0.0895324167287249
75,0.8919192808833569,0.0
