n_subsets,mean_rho,std_rho
5,0.8220707962903493,0.0563218255740991
10,0.8284937379636947,0.06303762752222844
15,0.8371480472065395,0.05914278874570886
20,0.8168940707324177,0.05346926996805439
30,0.8239135923754735,0.04795535794136063
40,0.8003668995332356,0.026206356381832396
50,0.7949165004063451,0.02244181612881556
75,0.7650990425978786,1.1102230246251565e-16
