n_subsets,rho,p,note
10,0.8153755574335234,7.154255712559465e-08,
20,0.8949406681237076,5.803641471872974e-11,
30,0.8914622757434377,8.81964654257878e-11,
40,0.9403201636092341,3.689645691748262e-14,
50,0.9403201636092341,3.689645691748262e-14,
75,0.9403201636092341,3.689645691748262e-14,
100,,,insufficient train subsets (75 available)
150,,,insufficient train subsets (75 available)
