n_subsets,rho,p,note
10,0.8822338481779269,2.5433947490116955e-09,
20,0.8621279294375264,1.5134436841485826e-08,
30,0.875994080292975,4.570483320488155e-09,
40,0.893326768862286,8.23259641146195e-10,
50,0.875994080292975,4.570483320488155e-09,
75,0.893326768862286,8.23259641146195e-10,
100,,,insufficient train subsets (75 available)
150,,,insufficient train subsets (75 available)
