Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,1.2192665608723958,0.6066666666666667,0.8466666666666667,0.6798874139785767,0.6066666666666667,,,,0.4672258318713677,final_score,0.0,,0.4672258318713677,0.5289491431520887,0.0,0.4672258318713677,-0.13103322153737157,graph_lift,0.0,500,129.106,7.098291517391734,2.4096535054264026,18,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.18545076251029968,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,129.106,7.098291517391734,,18,train,False,,,,0
M1,N7,E10b,T12a,categorical,1.1383350626627604,0.7266666666666667,0.8933333333333333,0.7337814569473267,0.7266666666666667,,,,0.5116959970229498,final_score,0.0,,0.5116959970229498,0.5268531465602031,0.0,0.5116959970229498,-0.0320347676985702,graph_lift,0.0,500,129.206,7.153932005121028,2.340747336229341,18,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1007075086236,final_score,0.010908322700954879,,0.010908322700954879,0.0,0.010908322700954879,0.010908322700954879,0.010908322700954879,graph_lift,1.090832270095488,500,129.206,7.153932005121028,,18,train,False,,,,1
M1,N7,E10b,T12a,categorical,1.017184041341146,0.6733333333333333,0.8733333333333333,0.7331503033638,0.6733333333333333,,,,0.536713912677659,final_score,0.0,,0.536713912677659,0.5370456478751342,0.0,0.536713912677659,-0.0007165613541650614,graph_lift,0.0,500,132.48,7.119759106335956,2.3801019466716022,18,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11673939973115921,final_score,0.0,,0.36218541367403745,0.41977818694457586,0.0,0.36218541367403745,-0.09925992435075344,graph_lift,0.0,500,132.48,7.119759106335956,,18,train,False,,,,2
M1,N7,E10b,T12a,categorical,1.1737415568033853,0.7066666666666667,0.9133333333333333,0.7194035053253174,0.7066666666666667,,,,0.49152268177404124,final_score,0.002490240901089495,,0.49152268177404124,0.4902532896667736,0.002490240901089495,0.49152268177404124,0.002490240901089495,graph_lift,0.2490240901089495,500,132.848,7.138529528989137,2.3822990581367813,18,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1281309574842453,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,132.848,7.138529528989137,,18,train,False,,,,3
M1,N7,E10b,T12a,categorical,1.15310302734375,0.6933333333333334,0.8333333333333334,0.7181278467178345,0.6933333333333334,,,,0.49602303536168457,final_score,0.017620744504664387,,0.49602303536168457,0.4869832991493698,0.017620744504664387,0.49602303536168457,0.017620744504664387,graph_lift,1.7620744504664387,500,134.142,7.140257855722377,2.374875679287761,18,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.13401581346988678,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,134.142,7.140257855722377,,18,train,False,,,,4
M1,N7,E10b,T12a,categorical,1.4722673543294271,0.5933333333333334,0.82,0.655286967754364,0.5933333333333334,,,,0.3729779448876501,final_score,0.02831258454358611,,0.3729779448876501,0.35470806234757124,0.02831258454358611,0.3729779448876501,0.02831258454358611,graph_lift,2.831258454358611,500,129.352,7.161326235919814,2.376749506525373,18,train,False,,,,5
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.15994377434253693,final_score,0.021033964240381967,,0.2828607812626317,0.26745240126649344,0.021033964240381967,0.2828607812626317,0.021033964240381967,graph_lift,2.1033964240381966,500,129.352,7.161326235919814,,18,train,False,,,,5
M1,N7,E10b,T12a,categorical,1.127290547688802,0.7,0.8733333333333333,0.7161895036697388,0.7,,,,0.5035154441463907,final_score,0.0,,0.5035154441463907,0.5170471666996859,0.0,0.5035154441463907,-0.028018724853159184,graph_lift,0.0,500,133.39,7.172748047783482,2.3869771205066774,18,train,False,,,,6
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.13428683578968048,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,133.39,7.172748047783482,,18,train,False,,,,6
M1,N7,E10b,T12a,categorical,1.3344345092773438,0.66,0.86,0.6806582808494568,0.66,,,,0.44224049499764917,final_score,0.0,,0.44224049499764917,0.45731612998467375,0.0,0.44224049499764917,-0.02777977349243643,graph_lift,0.0,500,131.096,7.153253688617188,2.418512022578235,18,train,False,,,,7
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14394815266132355,final_score,0.0,,0.04612663723938484,0.15366013790199734,0.0,0.04612663723938484,-0.12705711437961378,graph_lift,0.0,500,131.096,7.153253688617188,,18,train,False,,,,7
M1,N7,E10b,T12a,categorical,1.2349733479817708,0.6666666666666666,0.8666666666666667,0.7009404301643372,0.6666666666666666,,,,0.4809384858839926,final_score,0.012180652502176266,,0.4809384858839926,0.4745380160544477,0.012180652502176266,0.4809384858839926,0.012180652502176266,graph_lift,1.2180652502176266,500,127.076,7.153608067974398,2.3575635154807357,18,train,False,,,,8
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.12948736548423767,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,127.076,7.153608067974398,,18,train,False,,,,8
M1,N7,E10b,T12a,categorical,1.2465152994791666,0.6933333333333334,0.8466666666666667,0.7167930006980896,0.6933333333333334,,,,0.49122255454960506,final_score,0.015100685031315484,,0.49122255454960506,0.48342187092842903,0.015100685031315484,0.49122255454960506,0.015100685031315484,graph_lift,1.5100685031315484,500,130.882,7.135250262181612,2.400944829753211,18,train,False,,,,9
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.100033700466156,final_score,0.0,,0.2598402798542514,0.29352518406009176,0.0,0.2598402798542514,-0.04768026183781978,graph_lift,0.0,500,130.882,7.135250262181612,,18,train,False,,,,9
M1,N7,E10b,T12a,categorical,1.1034454345703124,0.7666666666666667,0.84,0.7609243988990784,0.7666666666666667,,,,0.5264731363363051,final_score,0.0,,0.5264731363363051,0.5551662456543682,0.0,0.5264731363363051,-0.06450299474299524,graph_lift,0.0,500,128.144,7.119393868388681,2.3704417087809446,18,train,False,,,,10
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.10221238434314728,final_score,0.03796859949318912,,0.1261634994343098,0.09167569779391653,0.03796859949318912,0.1261634994343098,0.03796859949318912,graph_lift,3.796859949318912,500,128.144,7.119393868388681,,18,train,False,,,,10
M1,N7,E10b,T12a,categorical,1.4136004638671875,0.6466666666666666,0.7866666666666666,0.6767174005508423,0.6466666666666666,,,,0.3808936529055579,final_score,0.0447978467932583,,0.3808936529055579,0.3518583003440485,0.0447978467932583,0.3808936529055579,0.0447978467932583,graph_lift,4.47978467932583,500,131.512,7.147609786864249,2.3003263387284822,18,train,False,,,,11
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.12646368145942688,final_score,0.22908860812845544,,0.365759663573274,0.17728503805479084,0.22908860812845544,0.365759663573274,0.22908860812845544,graph_lift,22.908860812845543,500,131.512,7.147609786864249,,18,train,False,,,,11
M1,N7,E10b,T12a,categorical,1.3363021850585937,0.6333333333333333,0.8266666666666667,0.6618057489395142,0.6333333333333333,,,,0.3795213763641415,final_score,0.03433373700567842,,0.3795213763641415,0.3574605975030246,0.03433373700567842,0.3795213763641415,0.03433373700567842,graph_lift,3.433373700567842,500,128.004,7.113717997418846,2.334282038976317,18,train,False,,,,12
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.15731585025787354,final_score,0.0,,0.15172826733594502,0.22649948849573392,0.0,0.15172826733594502,-0.09666602678048328,graph_lift,0.0,500,128.004,7.113717997418846,,18,train,False,,,,12
M1,N7,E10b,T12a,categorical,1.2909518432617189,0.64,0.8533333333333334,0.690546989440918,0.64,,,,0.4378172434797054,final_score,0.012558459891064236,,0.4378172434797054,0.4306673016224597,0.012558459891064236,0.4378172434797054,0.012558459891064236,graph_lift,1.2558459891064235,500,129.58,7.137490046638131,2.3633572547074695,18,train,False,,,,13
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.13102197647094727,final_score,0.0582702219059585,,0.24145171159875256,0.1945159789504941,0.0582702219059585,0.24145171159875256,0.0582702219059585,graph_lift,5.82702219059585,500,129.58,7.137490046638131,,18,train,False,,,,13
M1,N7,E10b,T12a,categorical,1.2585079956054688,0.6933333333333334,0.8533333333333334,0.7012147307395935,0.6933333333333334,,,,0.4601523399495848,final_score,0.0,,0.4601523399495848,0.4889571470910731,0.0,0.4601523399495848,-0.056364758801590295,graph_lift,0.0,500,131.658,7.165993022229636,2.3493343322729237,18,train,False,,,,14
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.12527525424957275,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,131.658,7.165993022229636,,18,train,False,,,,14
M1,N7,E10b,T12a,categorical,1.6317383829752605,0.5466666666666666,0.78,0.604617178440094,0.5466666666666666,,,,0.3026191517127059,final_score,0.0,,0.3026191517127059,0.38491215091483666,0.0,0.3026191517127059,-0.1337906436040434,graph_lift,0.0,500,131.856,7.152143506385774,2.3579770338833215,18,train,False,,,,15
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11490397900342941,final_score,0.0,,0.0,0.13185613111118719,0.0,0.0,-0.15188281094463918,graph_lift,0.0,500,131.856,7.152143506385774,,18,train,False,,,,15
M1,N7,E10b,T12a,categorical,1.3841871134440105,0.6533333333333333,0.82,0.6828214526176453,0.6533333333333333,,,,0.41211003522039535,final_score,0.0,,0.41211003522039535,0.4398762101610322,0.0,0.41211003522039535,-0.04957149730887065,graph_lift,0.0,500,129.992,7.136478341792396,2.3978195848836976,18,train,False,,,,16
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.12966026365756989,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,129.992,7.136478341792396,,18,train,False,,,,16
M1,N7,E10b,T12a,categorical,1.3453220621744792,0.6333333333333333,0.8333333333333334,0.6901851296424866,0.6333333333333333,,,,0.4350659075692145,final_score,0.0077495010257089495,,0.4350659075692145,0.43065375828506103,0.0077495010257089495,0.4350659075692145,0.0077495010257089495,graph_lift,0.7749501025708949,500,126.77,7.154135053074549,2.3366995546111036,18,train,False,,,,17
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1434631496667862,final_score,0.0,,0.021842023556300796,0.11040928889752254,0.0,0.021842023556300796,-0.09955956625430537,graph_lift,0.0,500,126.77,7.154135053074549,,18,train,False,,,,17
M1,N7,E10b,T12a,categorical,1.3284454345703125,0.68,0.84,0.6890735030174255,0.68,,,,0.42937531143891206,final_score,0.026970758344604186,,0.42937531143891206,0.4135585405529075,0.026970758344604186,0.42937531143891206,0.026970758344604186,graph_lift,2.6970758344604184,500,136.762,7.187825754293498,2.323358751052896,18,train,False,,,,18
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.15580745041370392,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,136.762,7.187825754293498,,18,train,False,,,,18
M1,N7,E10b,T12a,categorical,1.6308141072591147,0.5733333333333334,0.78,0.6192028522491455,0.5733333333333334,,,,0.3333393076084098,final_score,0.0,,0.3333393076084098,0.379261453184333,0.0,0.3333393076084098,-0.07397985160016195,graph_lift,0.0,500,131.768,7.121591431627395,2.3454185394121043,18,train,False,,,,19
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11496356874704361,final_score,0.0,,0.0791752449844628,0.12191745252800357,0.0,0.0791752449844628,-0.04867675330365667,graph_lift,0.0,500,131.768,7.121591431627395,,18,train,False,,,,19
M1,N7,E10b,T12a,categorical,1.0745772298177083,0.7,0.9066666666666666,0.7342411279678345,0.7,,,,0.5299300826263871,final_score,0.036712887199321746,,0.5299300826263871,0.5120147346236957,0.036712887199321746,0.5299300826263871,0.036712887199321746,graph_lift,3.6712887199321744,500,127.938,7.134063374282838,2.269192798483915,17,train,False,,,,20
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11481717973947525,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,127.938,7.134063374282838,,17,train,False,,,,20
M1,N7,E10b,T12a,categorical,1.2744618733723958,0.6666666666666666,0.8,0.697555661201477,0.6666666666666666,,,,0.44965077768614425,final_score,0.0,,0.44965077768614425,0.47968774476069886,0.0,0.44965077768614425,-0.05772873264486161,graph_lift,0.0,500,129.026,7.145860729540744,2.391599877007559,18,train,False,,,,21
