Task_Idx,Node_Idx,Edge_Idx,Text_Idx,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,task_type,output_dimension,normalized_score
1,7,10,a,1.1663453578948975,0.7066666666666667,0.86,0.7262231707572937,,,,,,accuracy,0.7066666666666667,Average 5/10,1000,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.7066666666666667
1,7,10,e,1.1856133937835693,0.7,0.8733333333333333,0.725016713142395,,,,,,accuracy,0.7,Average 5/10,1000,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.7
1,7,11,a,1.2253775596618652,0.6866666666666666,0.8733333333333333,0.720101535320282,,,,,,accuracy,0.6866666666666666,Below Average 4/10,1000,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.6866666666666666
1,7,11,a,1.1615735292434692,0.7,0.85,0.7309269309043884,,,,,,accuracy,0.7,Average 5/10,1000,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.7
1,7,11,e,1.2679469585418701,0.67,0.88,0.7109833359718323,,,,,,accuracy,0.67,Below Average 4/10,1000,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.67
1,7,11,e,1.2282706499099731,0.6866666666666666,0.8766666666666667,0.7213380932807922,,,,,,accuracy,0.6866666666666666,Below Average 4/10,1000,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.6866666666666666
1,8,10,a,0.27640214562416077,0.9357884796978282,0.9631728045325779,0.9411919713020325,,,,,,accuracy,0.9357884796978282,Great 9/10,3527,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.9357884796978282
1,8,10,e,0.2658626139163971,0.9357884796978282,0.9678942398489141,0.941222071647644,,,,,,accuracy,0.9357884796978282,Great 9/10,3527,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.9357884796978282
1,8,11,a,0.3212222754955292,0.9301227573182247,0.9650613786591123,0.9356535077095032,,,,,,accuracy,0.9301227573182247,Great 9/10,3527,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.9301227573182247
1,8,11,a,0.27282217144966125,0.9320113314447592,0.9707271010387157,0.9431316256523132,,,,,,accuracy,0.9320113314447592,Great 9/10,3527,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.9320113314447592
